host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
1360198,3,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.264,0.33,0.0528,0.67,0.27456,0.0,0.590912,0.0,0.1181824,0.0,0.023636479,0.0,0.0047272956
1539749,3,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.264,1.67,0.0528,1.0,1.34656,2.0,1.069312,1.33,1.8138624,0.33,1.4267725,1.33,0.5493545,1.0,1.1738709
1559494,6,0.5,0.5,0.67,0.5,0.5,0.636,0.33,0.5272,0.83,0.36944,0.67,0.737888,0.33,0.6835776,0.83,0.40071553,0.17,0.7441431,0.83,0.28482863,0.17,0.72096574
1567587,3,0.0,0.0,0.67,0.0,1.33,0.536,2.33,1.1712,2.33,2.09824,1.33,2.283648,2.33,1.5207297,2.0,2.168146,1.0,2.0336292,1.0,1.2067258,0.0,1.0413451
1612492,3,0.0,0.33,0.0,0.066,0.33,0.0132,0.0,0.26664,0.0,0.053328,0.33,0.0106656,0.0,0.26613313,1.0,0.053226627,0.0,0.81064534,0.0,0.16212907,0.0,0.032425813
1698391,3,1.0,0.33,1.0,0.866,1.33,0.9732,0.33,1.25864,1.67,0.515728,1.67,1.4391456,2.33,1.6238291,2.0,2.1887658,1.67,2.037753,3.67,1.7435507,0.67,3.2847102
1705037,3,0.0,0.33,1.67,0.066,2.33,1.3492,0.33,2.13384,1.0,0.690768,1.67,0.9381536,3.0,1.5236307,3.33,2.7047262,0.33,3.2049453,2.67,0.90498906,0.67,2.3169978
1789339,3,0.67,0.33,3.33,0.602,1.33,2.7844,2.67,1.62088,2.0,2.460176,2.0,2.0920353,1.0,2.018407,2.33,1.2036815,1.0,2.1047363,2.33,1.2209473,1.33,2.1081893
1865527,3,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.264,0.67,0.3168,1.33,0.59936,1.0,1.183872,0.33,1.0367744,0.0,0.47135487,0.0,0.094270974,0.0,0.018854195
2015914,6,0.0,0.17,0.5,0.034,0.67,0.4068,0.0,0.61736,1.17,0.123472,1.0,0.9606944,0.67,0.99213886,0.17,0.73442775,0.33,0.28288555,0.67,0.3205771,0.33,0.6001154
