listing_id,host_id,number_of_reviews
2515,2758,140
2539,2787,1
2595,2845,20
3330,4177,20
3831,4869,69
4611,5926,84
4984,7104,36
5099,7322,55
5107,7332,51
5121,7356,50
5172,7386,52
5178,8967,293
5203,7490,99
5238,7549,135
5258,7611,56
5270,7626,194
5295,7702,31
5441,7989,95
5552,8380,62
5803,9744,125
5857,10176,79
5945,4267,64
5947,10889,167
6476,14356,3
6848,15991,54
6990,16800,177
7036,53179,4
7097,17571,101
7121,17839,5
7258,18729,10
7322,18946,182
7540,19969,53
7801,21207,10
7816,21286,11
8024,22486,79
8025,22486,21
8110,22486,40
8225,2758,99
8270,23843,15
8293,19610,91
8343,24222,10
8371,24375,1
8490,25183,40
9123,29096,195
9357,30193,46
9518,31374,51
9657,21904,15
9668,32294,194
9704,32045,31
9782,32169,145
9783,32294,207
9896,33279,32
10423,36017,92
10452,35935,55
10962,9744,114
10994,33279,53
11174,40979,49
11708,44145,107
11793,32105,7
11900,45016,115
11943,45445,0
12048,7549,155
12192,46978,187
12299,47610,1
12303,47618,22
12318,16800,55
12382,48247,149
12543,49163,12
12579,49366,14
12937,50124,131
12940,50148,40
13002,22486,13
13050,50846,7
13076,50912,7
13380,52233,5
13394,52335,93
13414,52451,40
13488,52751,81
13552,7612,73
13808,54275,68
13974,41437,51
14287,56094,21
14290,56104,35
14314,56246,65
14322,56284,7
14368,56471,44
14374,2339,130
14377,56512,67
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,2
14708,55469,6
14991,59023,14
15110,3647,4
15220,59734,142
15230,59777,9
15239,16179,0
15338,32169,98
15341,60049,11
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,22
15509,59777,14
15700,61446,63
15711,61491,42
15729,61531,20
15875,61862,59
15940,62330,66
15944,62352,45
15962,62407,58
16008,62132,33
16056,62687,6
16089,656594,109
16284,63394,64
16326,63588,93
16338,63613,22
16417,63914,63
16421,63924,171
16422,63945,29
16580,64442,124
16595,64522,86
16737,65059,230
16821,4396,30
16928,65676,42
16949,65738,16
16971,65823,32
16974,65837,112
16990,59777,5
17037,66035,40
17052,66087,52
17226,4267,31
17240,59777,21
17297,67105,32
17298,67105,23
17299,67105,32
17454,7230,7
17535,55021,61
18127,69829,17
18152,69942,99
18195,70091,11
18590,71512,89
18728,71876,106
18764,72014,55
19159,73051,45
19169,73128,53
19282,73469,9
19319,44263,72
19601,74303,24
19743,74686,21
20299,62407,120
20300,76627,2
20611,72014,114
20724,961342,12
20734,78460,37
20755,51038,10
20793,42756,266
20853,79070,5
20913,79402,147
20959,42756,19
21218,42756,316
21220,42756,250
21293,44145,47
21456,42032,43
21530,82260,104
21644,82685,0
21794,83257,14
22562,86790,64
22673,87336,16
22911,87773,125
23135,11481,136
23265,49236,126
23269,49236,36
23416,91599,0
23481,91960,66
23501,63318,68
23545,92411,150
23586,92821,52
23686,93790,19
23942,95605,104
24143,97219,213
24189,3115758,34
24215,97701,89
24261,97797,21
24266,97797,32
24269,97797,39
24281,97797,48
24285,97797,47
25192,104001,0
25235,87773,98
25406,105538,22
25529,106551,54
25696,107628,84
26012,109589,13
26238,110930,122
26362,59734,207
26520,51038,10
26590,112983,11
26785,42273,303
26864,114590,5
26933,72062,5
26969,115307,203
27006,115560,12
27024,3227,221
27159,116382,246
27385,72062,65
27403,117958,7
27531,118971,227
27644,119510,100
27659,119588,6
27759,119900,8
27883,120223,25
28055,78127,49
28062,117958,19
28327,121436,44
28342,121809,11
28907,124352,14
29012,124797,35
29013,35935,47
29414,125857,79
29455,126607,90
29594,127428,18
29628,127608,164
29683,125857,41
30031,129352,110
30222,130293,123
30589,131716,80
30970,132918,128
31332,134516,4
31425,100956,73
31555,135619,13
31902,137292,1
31994,137814,297
32023,137974,117
32037,116599,47
32289,139612,8
32329,139853,2
32331,139874,4
32965,137974,63
33009,143027,163
33014,143048,26
33071,143388,55
33156,128669,19
33223,72014,119
34469,148891,55
34760,149929,0
35555,128931,3
35950,154332,25
36069,154787,11
36133,142684,104
36647,157798,24
36934,159370,16
37106,150715,10
37197,160605,36
37214,160671,10
38598,165566,17
38638,92788,99
38663,165789,17
38667,78127,68
38780,134505,33
38833,166532,120
39267,168417,132
39282,168525,143
39572,169927,17
39586,12220,162
39704,170510,233
40039,171851,14
40248,172907,1
40453,174025,3
40884,16800,41
40989,177655,38
41348,180083,43
41386,180380,6
41513,181167,2
41679,182119,126
41944,183352,49
41959,140272,157
42300,184755,46
42530,185745,12
42580,137814,163
42604,186084,18
42729,11481,81
42882,185978,127
43533,190143,3
43656,190934,18
44096,190409,77
44145,179020,120
44212,72062,40
44221,193722,73
44229,181376,135
44288,193637,65
44461,195137,48
44472,170703,15
44506,126607,6
44619,78127,102
44698,196764,94
44973,198411,92
45556,67778,87
45689,203103,159
45910,204539,8
45936,867225,84
46544,8198,42
46723,209460,109
46859,59777,2
46911,210746,38
47199,212722,113
47362,214148,30
47370,214287,3
48488,213709,1
48620,221373,0
48719,221873,59
49048,35935,19
49715,226986,98
50174,229740,130
50447,9744,85
50541,232066,21
50726,221843,2
51485,236655,172
51510,236846,158
51533,161581,2
51572,237329,216
51778,172137,22
52123,240834,27
52294,241678,83
53016,246260,37
53137,240360,1
53212,194739,190
53359,121809,3
53469,204539,33
53470,204539,6
53477,204539,12
53630,250209,35
53843,159708,48
53899,27104,90
53926,252323,13
54158,10889,182
54453,255583,10
54486,255748,126
54508,210746,60
54544,256161,63
54626,190409,42
54846,258054,18
