listing_id,host_id,number_of_reviews
105,500,39
2515,2758,123
2534,2782,0
2539,2787,0
2595,2845,19
3330,4177,18
3831,4869,28
4611,5926,74
4989,7118,17
5099,7322,52
5107,7332,47
5121,7356,46
5172,7386,42
5178,8967,257
5216,7510,29
5222,7516,93
5238,7549,120
5258,7611,51
5270,7626,166
5435,7987,24
5441,7989,81
5489,8178,232
5552,8380,60
5586,8526,34
5754,9443,10
5803,9744,120
5857,10176,65
5945,4267,64
5947,10889,143
6111,12169,96
6118,12220,6
6365,13654,12
6476,14356,2
6628,15042,26
6990,16800,161
7036,53179,4
7064,17297,9
7097,17571,92
7131,17985,42
7258,18729,10
7503,19852,8
7540,19969,53
7573,20149,46
7748,17985,5
7816,21286,10
8024,22486,78
8025,22486,18
8110,22486,40
8225,2758,84
8270,23843,15
8293,19610,59
8343,24222,9
8371,24375,0
8490,25183,38
9123,29096,177
9357,30193,42
9518,31374,41
9657,21904,12
9668,32294,186
9704,32045,14
9782,32169,132
9783,32294,196
9896,33279,31
10207,35017,30
10423,36017,85
10452,35935,51
10767,38649,130
10950,39636,43
10962,9744,103
10994,33279,41
11174,40979,46
11705,44136,8
11708,44145,96
11793,32105,7
11900,45016,106
11929,45324,1
11930,45324,2
11931,45324,7
11943,45445,0
12048,7549,136
12192,46978,170
12299,47610,0
12303,47618,21
12370,48143,9
12382,48247,134
12579,49366,13
12596,62745,72
12937,50124,108
12940,50148,31
13002,22486,8
13050,50846,2
13076,50912,7
13362,52043,56
13380,52233,4
13394,52335,89
13414,52451,39
13488,52751,64
13552,7612,37
13808,54275,57
13910,45324,8
14074,55298,91
14287,56094,20
14290,56104,34
14314,56246,59
14322,56284,6
14374,2339,106
14377,56512,58
14434,7356,57
14435,56793,20
14478,56944,13
14694,55469,6
14699,55469,2
14708,55469,6
14959,51997,0
14983,58979,32
14991,59023,14
15220,59734,127
15230,59777,8
15338,32169,93
15341,60049,9
15345,60089,98
15352,60185,2
15385,60252,17
15441,60584,4
15491,59777,4
15493,59777,22
15509,59777,14
15517,60810,43
15688,61414,69
15700,61446,63
15712,61494,27
15729,61531,20
15796,61414,51
15875,61862,56
15880,62122,6
15940,62330,59
15944,62352,37
15962,62407,58
16089,656594,106
16284,63394,64
16326,63588,81
16338,63613,21
16421,63924,151
16422,63945,29
16425,63955,4
16486,64164,73
16580,64442,95
16595,64522,77
16701,64894,73
16737,65059,201
16794,65197,20
16821,4396,25
16928,65676,34
16949,65738,14
16974,65837,98
16990,59777,5
17037,66035,35
17052,66087,51
17122,66346,105
17135,66397,33
17226,4267,31
17240,59777,21
17297,67105,30
17298,67105,21
17299,67105,29
17454,7230,7
17693,68428,0
18127,69829,16
18590,71512,78
18728,71876,99
18764,72014,52
19169,73128,46
19319,44263,70
19420,71776,34
19601,74303,22
19743,74686,20
20299,62407,111
20311,11365,27
20314,76701,0
20611,72014,97
20717,78353,7
20724,961342,10
20734,78460,14
20755,51038,9
20793,42756,231
20853,79070,2
20913,79402,130
21218,42756,278
21220,42756,208
21293,44145,43
21456,42032,42
21644,82685,0
21677,82796,54
21794,83257,5
22562,86790,64
22673,87336,14
22911,87773,118
23135,11481,114
23265,49236,120
23269,49236,27
23481,91960,54
23501,63318,68
23545,92411,134
23586,92821,52
23628,93246,3
23686,93790,16
23844,94966,66
24143,97219,188
24187,97476,5
24261,97797,20
24266,97797,31
24269,97797,35
24281,97797,44
