listing_id,host_id,number_of_reviews
2515,2758,156
2539,2787,7
2595,2845,22
3330,4177,24
3647,4632,0
3831,4869,149
4611,5926,103
4989,7118,24
5099,7322,62
5121,7356,50
5135,7380,219
5172,7386,62
5178,8967,351
5203,7490,118
5238,7549,141
5295,7702,36
5441,7989,131
5803,9744,139
5945,4267,65
6090,11975,21
6848,15991,82
6990,16800,216
7036,53179,4
7097,17571,134
7241,18583,61
7322,18946,209
7748,17985,6
7801,21207,10
7816,21286,13
8024,22486,97
8025,22486,24
8110,22486,45
8225,2758,125
8343,24222,10
8371,24375,1
8490,25183,46
9123,29096,226
9357,30193,58
9518,31374,78
9657,21904,20
9668,32294,215
9704,32045,49
9782,32169,170
9783,32294,237
10452,35935,70
10962,9744,140
11174,40979,52
11708,44145,151
11900,45016,139
11943,45445,0
12048,7549,184
12192,46978,211
12299,47610,4
12303,47618,24
12318,16800,64
12382,48247,194
12579,49366,22
12627,49670,1
12937,50124,177
12940,50148,46
13050,50846,11
13076,50912,8
13121,27848,62
13362,52043,63
13380,52233,5
13394,52335,110
13552,7612,140
13808,54275,79
14290,56104,49
14314,56246,93
14322,56284,9
14377,56512,81
14434,7356,57
14435,56793,22
14468,56909,1
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,15
15220,59734,204
15239,16179,8
15338,32169,116
15345,60089,98
15385,60252,24
15711,61491,47
15729,61531,22
15875,61862,60
15944,62352,70
16076,9253,34
16089,656594,124
16326,63588,117
16338,63613,26
16422,63945,34
16458,64056,4
16580,64442,196
16737,65059,288
16821,4396,58
16866,65421,14
16885,25188,0
16928,65676,55
16971,65823,35
16974,65837,138
17052,66087,55
17092,66243,15
17135,66397,60
17226,4267,41
17297,67105,43
17298,67105,27
17299,67105,34
17453,67744,0
17693,68428,11
17747,68599,59
18590,71512,115
18728,71876,129
18764,72014,55
19159,73051,48
19169,73128,59
19319,44263,85
19812,74857,52
20299,62407,150
20300,76627,2
20611,72014,143
20724,961342,18
20734,78460,92
20793,42756,306
20853,79070,12
21218,42756,394
21220,42756,311
21293,44145,76
21456,42032,51
21644,82685,0
21794,83257,24
23135,11481,183
23265,49236,138
23269,49236,50
23481,91960,85
23501,63318,68
23545,92411,179
23686,93790,25
24143,97219,274
24261,97797,23
24266,97797,34
24269,97797,44
24281,97797,55
24285,97797,63
