listing_id,host_id,number_of_reviews
2515,2758,146
2595,2845,20
3647,4632,0
3831,4869,96
4611,5926,89
5054,7231,56
5099,7322,59
5107,7332,59
5121,7356,50
5172,7386,53
5178,8967,311
5203,7490,99
5238,7549,138
5270,7626,209
5441,7989,109
5754,9443,10
5803,9744,133
5857,10176,86
5945,4267,64
6848,15991,71
6990,16800,186
7036,53179,4
7097,17571,113
7322,18946,198
7801,21207,10
7816,21286,12
8024,22486,84
8025,22486,22
8110,22486,41
8225,2758,108
8270,23843,16
8343,24222,10
8371,24375,1
8490,25183,40
9123,29096,211
9357,30193,51
9518,31374,60
9657,21904,18
9668,32294,197
9704,32045,39
9782,32169,154
9783,32294,216
9896,33279,32
10423,36017,94
10452,35935,63
10962,9744,125
10994,33279,54
11174,40979,52
11708,44145,117
11900,45016,125
11943,45445,0
12048,7549,156
12192,46978,196
12299,47610,3
12303,47618,24
12318,16800,59
12382,48247,165
12579,49366,14
12596,62745,78
12937,50124,142
12940,50148,42
13050,50846,10
13076,50912,8
13362,52043,60
13380,52233,5
13394,52335,102
13414,52451,42
13488,52751,87
13552,7612,97
13808,54275,70
13974,41437,51
14287,56094,23
14290,56104,39
14314,56246,70
14322,56284,7
14374,2339,139
14377,56512,71
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,3
14708,55469,6
14991,59023,14
15110,3647,4
15220,59734,152
15230,59777,9
15239,16179,2
15338,32169,101
15345,60089,98
15385,60252,20
15396,60278,4
15491,59777,5
15493,59777,23
15509,59777,14
15711,61491,42
15944,62352,52
15962,62407,58
16008,62132,38
16056,62687,13
16076,9253,29
16089,656594,116
16326,63588,102
16338,63613,24
16421,63924,184
16422,63945,32
16567,64381,68
16580,64442,150
16583,39527,40
16595,64522,92
16737,65059,251
16821,4396,42
16866,65421,7
16928,65676,45
16971,65823,35
16974,65837,121
16990,59777,5
17037,66035,45
17052,66087,54
17092,66243,9
17135,66397,43
17226,4267,33
17240,59777,21
17297,67105,36
17298,67105,23
17299,67105,33
17453,67744,0
17454,7230,7
17693,68428,0
17747,68599,52
18127,69829,17
18152,69942,100
18195,70091,12
18590,71512,95
18728,71876,113
18764,72014,55
19159,73051,46
19169,73128,56
19319,44263,75
19601,74303,25
19812,74857,48
20299,62407,132
20300,76627,2
20311,11365,33
20611,72014,125
20724,961342,15
20734,78460,51
20793,42756,277
20853,79070,6
20913,79402,159
21218,42756,344
21220,42756,267
21293,44145,58
21530,82260,116
21644,82685,0
21794,83257,20
22911,87773,134
23135,11481,156
23265,49236,131
23269,49236,40
23481,91960,71
23501,63318,68
23545,92411,161
23686,93790,22
24143,97219,232
24189,3115758,36
24261,97797,21
24266,97797,32
24269,97797,43
24281,97797,51
24285,97797,54
24686,100572,33
25192,104001,0
25235,87773,114
25406,105538,25
25696,107628,98
26012,109589,17
26238,110930,140
26362,59734,224
26520,51038,11
26785,42273,321
26864,114590,5
26933,72062,5
26969,115307,220
27006,115560,17
27024,3227,246
27159,116382,258
27385,72062,69
27403,117958,7
27531,118971,246
27644,119510,113
27659,119588,6
27759,119900,9
27883,120223,25
28055,78127,49
28062,117958,19
28083,120952,35
28321,65091,3
28327,121436,53
28342,121809,12
28396,6197784,10
28907,124352,16
29012,124797,35
29013,35935,49
29414,125857,84
29594,127428,19
29628,127608,178
29683,125857,44
30031,129352,125
30222,130293,130
