listing_id,host_id,number_of_reviews
2515,2758,154
2539,2787,6
2595,2845,21
3330,4177,24
3647,4632,0
3831,4869,134
4611,5926,98
4989,7118,24
5099,7322,61
5121,7356,50
5172,7386,60
5178,8967,342
5203,7490,118
5238,7549,141
5295,7702,36
5441,7989,125
5803,9744,139
5945,4267,64
6848,15991,78
6990,16800,211
7036,53179,4
7097,17571,128
7131,17985,44
7322,18946,209
7748,17985,6
7801,21207,10
7816,21286,12
8024,22486,91
8025,22486,24
8110,22486,43
8225,2758,123
8343,24222,10
8371,24375,1
8477,25137,21
8490,25183,45
9357,30193,56
9518,31374,75
9657,21904,20
9668,32294,211
9704,32045,45
9782,32169,167
9783,32294,232
10183,34866,2
10423,36017,95
10452,35935,68
10962,9744,136
11174,40979,52
11708,44145,143
11900,45016,134
11943,45445,0
12048,7549,174
12192,46978,209
12299,47610,3
12303,47618,24
12318,16800,62
12382,48247,191
12579,49366,20
12627,49670,0
12937,50124,170
12940,50148,46
13050,50846,11
13076,50912,8
13121,27848,61
13362,52043,60
13380,52233,5
13394,52335,107
13414,52451,45
13808,54275,75
13974,41437,51
14290,56104,47
14314,56246,85
14322,56284,9
14377,56512,77
14434,7356,57
14435,56793,22
14468,56909,0
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,15
15220,59734,194
15239,16179,7
15338,32169,115
15345,60089,98
15385,60252,22
15711,61491,46
15729,61531,22
15875,61862,60
15944,62352,68
16076,9253,34
16089,656594,120
16284,63394,68
16326,63588,113
16338,63613,25
16422,63945,32
16458,64056,1
16580,64442,187
16595,64522,97
16737,65059,282
16821,4396,56
16866,65421,13
16928,65676,51
16971,65823,35
16974,65837,134
17052,66087,55
17092,66243,13
17135,66397,55
17226,4267,41
17297,67105,41
17298,67105,25
17299,67105,34
17453,67744,0
17693,68428,7
17747,68599,55
18590,71512,110
18728,71876,124
18764,72014,55
19159,73051,48
19169,73128,58
19319,44263,84
19812,74857,50
20299,62407,144
20300,76627,2
20311,11365,33
20611,72014,140
20724,961342,17
20734,78460,81
20793,42756,300
20853,79070,11
20913,79402,162
20959,42756,20
21218,42756,382
21220,42756,305
21293,44145,72
21456,42032,49
21530,82260,130
21644,82685,0
21794,83257,23
23135,11481,181
23481,91960,82
23501,63318,68
23545,92411,174
23686,93790,23
24143,97219,263
24189,3115758,37
24261,97797,23
24266,97797,34
24269,97797,44
24281,97797,55
24285,97797,61
25192,104001,0
25235,87773,134
25406,105538,26
25529,106551,54
25696,107628,129
26012,109589,18
26362,59734,247
26785,42273,369
26933,72062,6
26954,115157,38
26969,115307,244
27006,115560,17
27385,72062,77
27531,118971,283
27644,119510,133
27659,119588,9
27759,119900,9
27883,120223,25
28083,120952,36
28321,65091,3
28327,121436,57
28342,121809,12
28383,25188,0
28396,6197784,10
28907,124352,20
29012,124797,35
29013,35935,51
29187,44263,2
29455,126607,101
29594,127428,19
29628,127608,197
29683,125857,49
30031,129352,136
30222,130293,145
30589,131716,84
30970,132918,168
31425,100956,83
31555,135619,17
31902,137292,1
31994,137814,346
31998,137846,55
32023,137974,159
32037,116599,59
32100,138579,2
32289,139612,8
32329,139853,3
32331,139874,4
32965,137974,83
33009,143027,181
33071,143388,59
33156,128669,19
33223,72014,154
34824,150105,15
35555,128931,4
35950,154332,31
35963,154377,12
36121,62165,9
36133,142684,125
36442,137432,2
36647,157798,34
36934,159370,21
37106,150715,10
37197,160605,46
37214,160671,10
38638,92788,106
38663,165789,19
38780,134505,41
38833,166532,139
39267,168417,174
39282,168525,158
39572,169927,24
39586,12220,172
39704,170510,261
40039,171851,14
40248,172907,1
40453,174025,4
41348,180083,46
41386,180380,16
41513,181167,2
41959,140272,217
42300,184755,56
42580,137814,214
42729,11481,100
42744,91536,7
42882,185978,141
43860,524333,67
44096,190409,104
44145,179020,120
44161,193360,193
44212,72062,49
44221,193722,92
44229,181376,157
44288,193637,72
44472,170703,16
44506,126607,23
44698,196764,114
45212,199896,7
45556,67778,117
45689,203103,211
45910,204539,9
45936,867225,92
45940,204724,12
46544,8198,45
46723,209460,110
46911,210746,41
47199,212722,134
47362,214148,30
47370,214287,3
49715,226986,108
50174,229740,153
50447,9744,106
51485,236655,201
51510,236846,197
51533,161581,2
51572,237329,271
51778,172137,25
51850,27848,49
51852,27848,58
52123,240834,28
52549,172137,19
52757,244497,28
53016,246260,59
53137,240360,1
53196,247432,0
53469,204539,33
53470,204539,6
53477,204539,13
53630,250209,60
53758,251176,84
53843,159708,50
54040,244497,0
54158,10889,241
54453,255583,10
54486,255748,163
54508,210746,61
54544,256161,70
54626,190409,54
54694,27848,59
54860,258164,136
55236,175932,8
55320,261202,64
55467,260709,158
55505,262095,48
55565,247432,51
55668,88209,106
55737,263414,82
55857,264100,12
55959,168525,54
56027,265284,18
56467,267593,98
56475,262143,12
56859,256161,138
56894,270364,13
57161,271975,144
57166,272006,11
57297,199392,158
57468,239208,159
57516,273960,4
57618,274557,63
57740,275459,3
57754,275578,81
57874,276291,136
57901,276207,8
58059,277379,337
58062,277394,10
58101,277595,173
58208,278237,7
58257,278545,9
58294,278807,12
58467,279797,9
58471,279829,0
58729,281343,23
59121,204539,1
59431,196764,10
59709,186084,11
59818,287773,34
60056,240834,49
60084,289271,28
60164,289653,54
60181,128806,30
60182,289810,3
60611,292204,179
60666,256161,136
60680,292630,65
60794,293394,3
60864,293911,11
60948,126607,87
61167,295760,21
61470,297666,3
61482,297629,16
61492,297769,130
61747,299370,78
61869,167921,8
62095,281764,182
62230,302772,26
62264,302936,19
62427,303882,45
62430,197755,62
62452,303939,140
62461,303939,92
62468,304081,29
62680,305314,67
62787,303939,143
62808,306150,34
62891,306545,151
62903,306605,49
62925,306739,108
63003,307241,69
63154,105155,18
63299,308875,94
63320,303939,147
63360,307962,307
63373,309329,18
63546,308652,39
63573,310458,9
63588,295128,0
63610,310670,11
63657,170510,209
63693,306545,125
63891,196764,13
64000,312722,8
64015,146944,0
64107,313317,219
64361,314562,54
64365,314582,163
64376,196764,57
64551,315396,148
64627,7740,123
64837,46978,156
64842,316989,59
64990,317684,13
65019,317809,85
65213,59254,2
65255,318998,19
65268,319092,56
65556,320422,0
65615,320761,31
65660,320538,80
65813,321756,11
65834,321934,11
66008,322884,27
66026,322716,9
66161,304493,0
66251,324460,25
66275,314941,59
66340,324859,266
66451,325389,8
66718,136227,129
66741,327673,120
66974,329436,30
67130,330488,166
67145,330660,31
67208,331195,306
67215,331224,17
67299,330347,44
67397,332189,67
67890,196764,6
68099,323517,85
68403,240427,87
68735,342054,25
68765,282655,22
68900,343250,6
68974,281229,146
69266,346370,21
69426,314506,201
69755,26210,104
69894,352168,29
69921,155689,36
70095,353965,83
70128,354330,36
70216,354965,17
70279,61531,49
70609,72062,31
71010,361855,15
71248,363834,30
71384,365153,49
71502,366325,30
71507,366380,18
71534,366492,152
71970,272651,17
72190,373085,32
72265,340692,15
72965,33405,32
74073,211877,11
74240,389924,54
74680,265109,107
74821,394640,44
74860,394752,1
75076,397221,1
75167,1420434,34
75193,308875,139
75635,401696,197
75727,402491,18
75770,205988,40
76761,118971,284
77765,417504,26
77799,417741,2
78331,420682,150
78919,422561,6
79067,425506,7
79749,429873,7
79782,430188,42
80493,434987,113
80684,417504,8
80700,417504,6
80924,438133,17
81739,417504,2
82132,446599,79
82525,449168,135
82638,449787,188
82928,451545,25
83081,452380,3
83243,453519,175
83760,456875,91
83811,457253,128
84010,417504,5
84059,459054,3
84417,103729,71
84480,313038,0
84659,462776,258
84697,463061,1
84905,464506,160
85094,322716,6
86215,327900,95
87279,478136,86
87853,480943,196
87987,277125,32
88329,482998,69
89427,116599,0
89621,209460,125
90426,297629,14
92894,82930,270
93313,25183,36
93540,501527,6
94035,35375,9
94477,478395,210
94783,473113,79
95883,509918,2
96471,116599,10
96474,511993,7
96881,513635,9
98663,520279,18
98724,519554,124
99070,522065,111
99913,506419,21
100002,523218,97
100023,526172,61
100184,526653,28
100186,526805,74
100368,526105,27
101633,532039,75
103161,465278,91
103311,417504,8
103806,251176,154
105416,540526,23
105790,548817,102
106363,551055,285
106457,5926,53
106647,552679,65
106906,553964,12
107630,306739,189
107690,196764,33
110520,258867,2
110576,568103,31
110739,568568,47
110784,568788,31
110921,456875,39
112304,573316,1
112359,571952,54
112435,181376,122
113083,575828,26
113092,575906,0
113265,314582,189
113945,275582,98
114123,579495,26
114229,314941,32
114969,582598,35
115535,567187,23
115678,127772,220
115748,585166,28
116551,497672,146
116940,209460,159
117425,593115,80
118061,2248897,40
118680,599354,0
118812,366325,1
120489,57059,1
120945,212193,2
121473,599002,57
121861,611716,23
123784,617990,68
125053,622460,41
125163,622855,25
125594,308652,73
126067,62812,8
126443,627217,261
126816,620288,3
127387,23276,3
128975,256161,81
131154,275563,103
131699,597085,216
131747,647988,65
131757,648017,225
132516,85330,0
132570,651390,20
132661,651818,40
132695,507186,15
133025,653405,60
134224,186549,8
134545,141272,28
134671,660764,12
135320,663430,24
135393,663764,174
135465,663879,56
135706,665013,10
136493,663384,14
136528,655521,7
136923,669913,64
137121,669695,99
137303,671423,8
137558,235719,18
137671,673090,19
138216,674970,3
139207,679037,6
140133,622866,103
140195,683027,98
140237,668326,73
140425,683975,115
140660,684966,76
140973,686147,55
141154,686768,165
141335,687361,30
141890,689661,18
141984,630453,53
142069,277747,22
144087,616825,13
144428,700008,54
145064,404424,8
145994,706418,1
146189,707259,7
146726,709334,17
146754,709434,43
147004,710669,3
147006,710669,7
147057,710669,7
147474,712642,1
147586,709334,50
148182,712453,18
148201,715807,18
148242,634099,1
148259,716064,47
148568,717220,9
148825,718349,125
149287,720320,0
149777,716306,91
150804,726333,6
151199,722320,292
152071,731855,0
152078,731904,14
152259,256161,90
152263,732535,131
152520,733894,46
152783,733627,34
152819,132701,72
152883,735314,207
153405,737585,77
153780,739499,133
154934,745069,32
155158,671139,120
155296,656841,23
157431,756173,84
157442,131005,20
157673,757166,77
158047,758655,27
158061,758441,26
158176,573065,77
158290,759583,41
158913,762563,4
158955,465589,277
159019,763021,58
159380,764836,40
159749,54275,44
159815,54275,9
159913,759883,0
160609,769247,7
160952,759583,14
160994,770831,81
161366,733894,34
161394,772300,3
161996,1856604,146
162493,776490,28
162501,776519,9
162508,776645,16
162565,759163,11
163627,242506,184
163809,781647,12
163814,627217,200
163836,32169,66
164682,785304,5
164989,69439,14
165461,867225,50
165573,789393,6
165824,733894,27
165919,790972,39
166006,791287,172
166541,793620,18
166601,793834,7
166983,795640,6
167013,306605,2
167222,22486,9
168084,800982,36
168123,720558,87
168546,803086,11
169002,805344,30
169063,498638,26
169152,806112,87
169283,806644,1
169306,806214,64
169464,806774,62
169480,608699,189
169532,807947,30
169556,808006,0
170420,812814,15
170847,814964,37
171562,60923,17
171776,803086,17
172445,602224,52
172499,823006,18
172700,302772,3
172870,781647,41
173072,826192,53
173151,826459,185
173733,737845,163
173742,829652,90
174527,833926,2
174563,834053,5
174716,777146,0
174803,159703,82
175069,667770,199
176129,842082,82
