listing_id,host_id,number_of_reviews
2515,2758,146
2595,2845,20
3647,4632,0
3831,4869,101
4611,5926,92
5099,7322,59
5107,7332,60
5121,7356,50
5172,7386,53
5178,8967,317
5203,7490,100
5238,7549,138
5270,7626,214
5441,7989,110
5754,9443,10
5803,9744,133
5857,10176,87
5945,4267,64
6848,15991,71
6990,16800,191
7036,53179,4
7097,17571,114
7322,18946,198
7801,21207,10
7816,21286,12
7852,7367,0
8024,22486,84
8025,22486,22
8110,22486,41
8225,2758,109
8270,23843,16
8343,24222,10
8371,24375,1
8490,25183,40
9123,29096,214
9357,30193,52
9518,31374,60
9657,21904,18
9668,32294,198
9704,32045,41
9782,32169,156
9783,32294,218
9896,33279,32
10423,36017,94
10452,35935,64
10962,9744,126
10994,33279,58
11174,40979,52
11708,44145,118
11900,45016,125
11943,45445,0
12048,7549,158
12192,46978,196
12299,47610,3
12303,47618,24
12318,16800,60
12382,48247,166
12579,49366,15
12596,62745,78
12937,50124,145
12940,50148,42
13050,50846,10
13076,50912,8
13362,52043,60
13380,52233,5
13394,52335,102
13488,52751,89
13552,7612,104
13808,54275,71
14287,56094,23
14290,56104,40
14314,56246,71
14322,56284,7
14374,2339,142
14377,56512,74
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,14
15110,3647,4
15220,59734,156
15230,59777,9
15239,16179,2
15338,32169,103
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,23
15509,59777,14
15711,61491,42
15729,61531,21
15944,62352,53
15962,62407,58
16008,62132,38
16056,62687,13
16076,9253,33
16089,656594,117
16284,63394,65
16326,63588,103
16338,63613,24
16421,63924,186
16422,63945,32
16425,63955,4
16567,64381,69
16580,64442,155
16737,65059,257
16821,4396,44
16866,65421,7
16971,65823,35
16974,65837,123
16990,59777,5
17037,66035,45
17052,66087,54
17092,66243,10
17135,66397,48
17226,4267,33
17240,59777,21
17297,67105,36
17298,67105,23
17299,67105,33
17453,67744,0
17454,7230,7
17693,68428,0
17747,68599,52
18127,69829,17
18152,69942,100
18195,70091,12
18590,71512,96
18728,71876,113
18764,72014,55
19159,73051,47
19169,73128,56
19319,44263,76
19601,74303,25
19812,74857,48
20299,62407,134
20300,76627,2
20311,11365,33
20611,72014,129
20724,961342,15
20734,78460,54
20793,42756,282
20853,79070,6
20913,79402,161
21218,42756,348
21220,42756,270
21293,44145,61
21530,82260,118
21644,82685,0
21794,83257,20
22250,85351,0
22911,87773,134
23135,11481,160
23265,49236,131
23269,49236,42
23481,91960,76
23501,63318,68
23545,92411,163
23686,93790,23
24143,97219,235
24189,3115758,37
24261,97797,21
24266,97797,32
24269,97797,43
24281,97797,52
24285,97797,54
24686,100572,33
25192,104001,0
25235,87773,114
25406,105538,25
25696,107628,101
26012,109589,17
26238,110930,146
26362,59734,225
26520,51038,11
26785,42273,326
26864,114590,5
26933,72062,5
26969,115307,223
27006,115560,17
27024,3227,254
27385,72062,69
27531,118971,250
27644,119510,116
27659,119588,6
27759,119900,9
27883,120223,25
28083,120952,35
28321,65091,3
28327,121436,54
28342,121809,12
28396,6197784,10
28907,124352,17
29012,124797,35
29013,35935,49
29414,125857,87
29594,127428,19
29628,127608,179
29683,125857,45
30031,129352,128
30222,130293,131
30589,131716,82
30970,132918,142
31425,100956,79
31555,135619,15
31902,137292,1
31994,137814,322
