listing_id,host_id,number_of_reviews
105,500,39
2515,2758,115
2595,2845,17
3330,4177,16
3831,4869,8
4573,5871,5
4611,5926,68
4984,7104,36
4989,7118,14
5044,7222,41
5099,7322,46
5121,7356,40
5172,7386,42
5178,8967,237
5238,7549,108
5258,7611,49
5270,7626,151
5295,7702,30
5441,7989,72
5489,8178,215
5552,8380,55
5803,9744,116
5857,10176,60
5945,4267,61
5947,10889,130
6011,11481,115
6103,5871,11
6111,12169,91
6171,12712,144
6202,12869,13
6365,13654,10
6990,16800,150
7036,53179,4
7064,17297,8
7097,17571,78
7258,18729,8
7503,19852,8
7540,19969,51
7573,20149,46
7816,21286,8
8024,22486,76
8025,22486,17
8110,22486,38
8225,2758,79
8258,23684,2
8270,23843,15
8343,24222,8
8477,25137,19
8490,25183,36
9073,28738,0
9123,29096,163
9357,30193,40
9529,30990,106
9657,21904,7
9668,32294,174
9680,32330,71
9704,32045,12
9782,32169,122
9783,32294,184
9896,33279,31
9985,32330,80
10207,35017,20
10423,36017,81
10452,35935,47
10767,38649,121
10950,39636,33
10962,9744,93
10994,33279,31
11705,44136,5
11708,44145,83
11777,32330,61
11793,32105,7
11900,45016,103
11929,45324,1
11930,45324,2
11931,45324,6
11943,45445,0
12048,7549,131
12192,46978,155
12303,47618,21
12370,48143,8
12382,48247,124
12579,49366,13
12596,62745,69
12622,49623,28
12639,48143,1
12937,50124,94
12940,50148,27
13002,22486,6
13076,50912,7
13121,27848,56
13380,52233,4
13394,52335,81
13488,52751,59
13495,52788,16
13808,54275,56
13910,45324,5
14074,55298,90
14287,56094,19
14290,56104,32
14314,56246,50
14322,56284,4
14374,2339,94
14377,56512,56
14415,56663,6
14434,7356,50
14478,56944,13
14539,57142,121
14580,56944,62
14694,55469,5
14699,55469,1
14708,55469,6
14779,50148,49
14940,56663,25
14983,58979,27
14991,59023,14
15049,59254,49
15110,3647,4
15220,59734,113
15230,59777,7
15338,32169,87
15341,60049,7
15352,60185,0
15385,60252,15
15441,60584,4
15491,59777,4
15493,59777,21
15517,60810,43
15688,61414,59
15700,61446,63
15712,61494,26
15729,61531,20
15796,61414,40
15875,61862,51
15940,62330,52
15944,62352,30
15962,62407,55
16008,62132,26
16089,656594,106
16284,63394,63
16326,63588,72
16338,63613,19
16421,63924,143
16422,63945,24
16425,63955,4
16486,64164,65
16550,64334,2
16580,64442,73
16595,64522,65
16701,64894,65
16737,65059,183
16794,65197,14
16821,4396,22
16928,65676,31
16974,65837,88
17037,66035,33
17052,66087,46
17092,66243,6
17122,66346,97
17135,66397,23
17226,4267,27
17240,59777,21
17296,67105,22
17297,67105,24
17298,67105,20
17299,67105,23
17453,67744,0
17454,7230,7
17535,55021,43
17758,57142,83
18127,69829,15
18198,70091,21
18590,71512,72
18728,71876,92
18764,72014,47
19059,72808,81
19169,73128,42
19282,73469,9
19319,44263,67
19420,71776,33
19601,74303,18
19743,74686,20
20299,62407,98
20611,72014,85
20734,78460,4
20755,51038,8
20793,42756,211
20853,79070,2
20913,79402,116
21218,42756,252
21220,42756,187
21456,42032,40
21530,82260,79
21644,82685,0
21677,82796,47
21794,83257,3
22562,86790,64
22911,87773,115
23135,11481,104
23265,49236,115
23269,49236,24
23377,91407,39
23481,91960,49
23488,33135,7
23501,63318,68
23529,92311,92
23545,92411,128
23586,92821,50
23606,93047,8
23686,93790,12
23844,94966,54
23942,95605,86
24143,97219,177
24187,97476,4
24189,3115758,33
24261,97797,19
24266,97797,31
24269,97797,32
24281,97797,42
24285,97797,38
24686,100572,33
25148,103729,47
25192,104001,0
25235,87773,74
25406,105538,17
25524,106541,50
25529,106551,48
25696,107628,56
25805,61414,47
25933,109048,85
25988,109451,4
25990,109457,8
26094,110135,21
26238,110930,88
26362,59734,160
26520,51038,7
26590,112983,9
26785,42273,242
26864,114590,5
26933,72062,5
26954,115157,37
26969,115307,171
27006,115560,6
27024,3227,167
27159,116382,183
27276,117028,64
27531,118971,184
27644,119510,69
27659,119588,4
27759,119900,7
27883,120223,25
28213,60584,12
28224,121427,51
28327,121436,38
28342,121809,10
28907,124352,10
28917,56471,95
28965,124655,51
29012,124797,34
29013,35935,39
29191,72808,99
29268,111203,6
29414,125857,60
29455,126607,72
29594,127428,13
29628,127608,132
29683,125857,23
30031,129352,75
30168,130023,46
30222,130293,97
30227,130351,48
30589,131716,75
30970,132918,98
31332,134516,2
31340,23435,48
31555,135619,12
31902,137292,1
31994,137814,238
32023,137974,104
32037,116599,30
32100,138579,2
32244,111921,20
32289,139612,8
32291,95639,169
32329,139853,2
32965,137974,43
33009,143027,134
33071,143388,47
33156,128669,15
33223,72014,82
33263,61414,47
33656,145577,15
33806,146025,41
33998,130313,19
34225,94735,6
34270,62014,0
34469,148891,55
34477,148874,1
34824,150105,13
35526,120291,33
35548,152918,29
35555,128931,1
35945,153441,69
35950,154332,13
36069,154787,2
36133,142684,94
36446,156734,3
36647,157798,16
36703,158284,123
36796,158734,20
36934,159370,13
37014,159746,220
37042,159917,21
37106,150715,10
37197,160605,26
37214,160671,10
37689,162229,17
38638,92788,82
38663,165789,11
38667,78127,51
38707,11481,74
38771,8178,182
38780,134505,22
38833,166532,95
39267,168417,97
39282,168525,124
39344,168806,1
39494,169471,33
39545,169683,150
39547,169741,81
39567,169899,92
39582,12220,69
39586,12220,137
39704,170510,181
39755,170813,9
40039,171851,14
40090,170707,92
40341,173218,35
40453,174025,1
40884,16800,41
40989,177655,7
41348,180083,17
41513,181167,1
41679,182119,118
41721,182354,24
41872,182987,24
41944,183352,26
41959,140272,119
41960,118793,17
42012,183665,27
42308,35935,52
42530,185745,11
42580,137814,98
42650,177980,0
42729,11481,67
42882,185978,102
43524,190171,5
43533,190143,3
43582,190416,0
43656,190934,13
43860,524333,61
43927,192154,27
43999,192533,9
44096,190409,51
44161,193360,171
44212,72062,32
44221,193722,50
44229,181376,112
44288,193637,52
44372,194685,3
44461,195137,48
44472,170703,13
44569,32330,81
44619,78127,82
44698,196764,79
44714,46978,45
44974,198425,27
45282,200454,21
45393,201297,33
45509,131914,105
45556,67778,47
45558,192154,42
45599,202616,54
45671,202977,1
45689,203103,118
45703,61414,38
45910,204539,6
45936,867225,79
45941,203595,27
45943,204734,196
46544,8198,38
46597,208519,41
46723,209460,95
46847,182226,15
46911,210746,31
47199,212722,84
47362,214148,30
47370,214287,3
47563,215817,10
47613,216191,28
47655,216517,45
47868,218080,24
48310,220001,243
48620,221373,0
48719,221873,54
49048,35935,19
49106,223802,94
49163,223999,35
49715,226986,91
49868,228007,9
50174,229740,104
50447,9744,66
50541,232066,21
50623,232651,18
50789,233802,20
51485,236655,147
51510,236846,121
51533,161581,2
51572,237329,176
51850,27848,44
51852,27848,52
52017,56944,34
52113,148874,3
52123,240834,23
52294,241678,75
53092,246623,6
53137,240360,1
53212,194739,157
53469,204539,33
53470,204539,5
53477,204539,11
53598,249981,17
53630,250209,16
53843,159708,39
53899,27104,73
53932,252361,49
54158,10889,134
54213,253979,3
54355,254913,89
54358,254913,65
54391,254226,10
54453,255583,10
54486,255748,75
54508,210746,59
54544,256161,55
54626,190409,12
54694,27848,58
54822,257885,103
54846,258054,8
54860,258164,80
54975,258888,0
55320,261202,41
55467,260709,52
55488,262119,12
55505,262095,44
55587,131716,5
55668,88209,70
55737,263414,35
55857,264100,10
55888,264411,0
55902,264514,151
55922,264621,5
55959,168525,26
55982,264928,13
56467,267593,11
56475,262143,5
56523,76055,10
56525,268014,54
56859,256161,104
57161,271975,93
57297,199392,91
57468,239208,82
57516,273960,4
57618,274557,26
57754,275578,47
57874,276291,65
57901,276207,7
58059,277379,179
58062,277394,4
58101,277595,101
58257,278545,6
58286,277053,42
58292,202616,49
58294,278807,12
58467,279797,2
58471,279829,0
58515,272189,29
58595,148874,0
58618,280698,109
58729,281343,18
58814,281828,35
58845,282025,14
59014,282927,29
59121,204539,1
59127,283395,111
59156,16883,4
59293,283395,1
59628,286619,45
59709,186084,9
59723,281646,0
59735,230086,35
59818,287773,21
60037,288905,5
60056,240834,40
60076,289188,29
60084,289271,24
60164,289653,12
60181,128806,22
60308,290461,41
60611,292204,125
60666,256161,83
60680,292630,33
60864,293911,2
60948,126607,54
61112,295469,2
