listing_id,host_id,number_of_reviews
2515,2758,131
2539,2787,1
2595,2845,19
3330,4177,19
3831,4869,53
4611,5926,77
5099,7322,53
5107,7332,47
5121,7356,46
5172,7386,42
5178,8967,275
5222,7516,93
5238,7549,124
5258,7611,55
5270,7626,180
5441,7989,84
5489,8178,237
5552,8380,61
5803,9744,122
5857,10176,70
5945,4267,64
5947,10889,150
6365,13654,14
6416,13908,12
6476,14356,3
6848,15991,44
6990,16800,171
7036,53179,4
7064,17297,9
7097,17571,94
7258,18729,10
7540,19969,53
7801,21207,10
7816,21286,11
8024,22486,78
8025,22486,20
8110,22486,40
8225,2758,89
8258,23684,2
8270,23843,15
8293,19610,78
8343,24222,10
8371,24375,0
8490,25183,39
9123,29096,182
9357,30193,44
9518,31374,44
9657,21904,13
9668,32294,188
9704,32045,22
9782,32169,139
9783,32294,199
9896,33279,32
10423,36017,85
10452,35935,53
10950,39636,47
10962,9744,106
11174,40979,48
11708,44145,98
11793,32105,7
11900,45016,109
11929,45324,1
11930,45324,2
11931,45324,7
11943,45445,0
12048,7549,147
12192,46978,175
12299,47610,0
12303,47618,22
12318,16800,53
12382,48247,137
12579,49366,14
12937,50124,115
12940,50148,35
13050,50846,2
13076,50912,7
13380,52233,5
13394,52335,90
13488,52751,73
13552,7612,52
13808,54275,64
13910,45324,8
14287,56094,20
14290,56104,34
14314,56246,61
14322,56284,6
14368,56471,28
14374,2339,118
14377,56512,63
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,2
14708,55469,6
14983,58979,32
14991,59023,14
15049,59254,57
15110,3647,4
15220,59734,134
15230,59777,9
15338,32169,96
15341,60049,10
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,22
15509,59777,14
15517,60810,43
15688,61414,72
15700,61446,63
15729,61531,20
15796,61414,55
15875,61862,57
15940,62330,64
15944,62352,42
15962,62407,58
16056,62687,1
16089,656594,106
16326,63588,85
16338,63613,22
16421,63924,157
16422,63945,29
16567,64381,59
16580,64442,106
16595,64522,84
16701,64894,76
16737,65059,217
16794,65197,33
16821,4396,26
16928,65676,37
16971,65823,29
16974,65837,103
16990,59777,5
17037,66035,37
17122,66346,111
17226,4267,31
17240,59777,21
17297,67105,31
17298,67105,22
17299,67105,31
17454,7230,7
17535,55021,53
18195,70091,10
18198,70091,23
18590,71512,82
18728,71876,101
18764,72014,54
19043,72747,0
19169,73128,48
19282,73469,9
19319,44263,71
19420,71776,34
19601,74303,23
19743,74686,20
20299,62407,114
20300,76627,2
20311,11365,31
20611,72014,103
20717,78353,10
20734,78460,26
20755,51038,9
20793,42756,247
20853,79070,3
20913,79402,135
21218,42756,295
21220,42756,228
21456,42032,42
21530,82260,96
21644,82685,0
21794,83257,8
22562,86790,64
22673,87336,15
22911,87773,119
23135,11481,121
23265,49236,122
23269,49236,29
23481,91960,60
23501,63318,68
23545,92411,143
23586,92821,52
23686,93790,18
23942,95605,97
24143,97219,200
24261,97797,21
24266,97797,31
24269,97797,36
24281,97797,46
24285,97797,44
25192,104001,0
25235,87773,87
25406,105538,19
25529,106551,53
25696,107628,67
25805,61414,59
26012,109589,12
26238,110930,112
26362,59734,194
26520,51038,9
26590,112983,11
26785,42273,284
26933,72062,5
26969,115307,193
27006,115560,11
27024,3227,201
27159,116382,225
27276,117028,79
27385,72062,62
27403,117958,7
27531,118971,213
27644,119510,87
27659,119588,6
27759,119900,7
27883,120223,25
28224,121427,74
28327,121436,42
28342,121809,11
28907,124352,10
29012,124797,34
29013,35935,44
29414,125857,71
29594,127428,17
29628,127608,153
29683,125857,33
30031,129352,102
30222,130293,114
30589,131716,78
30970,132918,120
31425,100956,65
31555,135619,12
31902,137292,1
31994,137814,276
32023,137974,112
32037,116599,39
32244,111921,20
32289,139612,8
32291,95639,188
32329,139853,2
32331,139874,3
32965,137974,54
33009,143027,153
33014,143048,26
33071,143388,51
33156,128669,17
33223,72014,100
33263,61414,63
33998,130313,19
34225,94735,6
34824,150105,15
35555,128931,3
35950,154332,18
36069,154787,4
36133,142684,99
36647,157798,23
36703,158284,129
36934,159370,16
37197,160605,31
37214,160671,10
37689,162229,20
38638,92788,94
38663,165789,15
38667,78127,59
38771,8178,211
38788,23684,6
38833,166532,111
39267,168417,118
39282,168525,136
39567,169899,101
39586,12220,152
39704,170510,217
39755,170813,9
40012,171735,16
40039,171851,14
40453,174025,3
40884,16800,41
40989,177655,26
41348,180083,36
41679,182119,126
41944,183352,41
41959,140272,147
42012,183665,27
42300,184755,45
42530,185745,12
42580,137814,140
42729,11481,73
42882,185978,117
43533,190143,3
44096,190409,67
44161,193360,191
44212,72062,35
44221,193722,66
44229,181376,128
44288,193637,61
44461,195137,48
44619,78127,97
44698,196764,86
45282,200454,22
45393,201297,35
45556,67778,73
45671,202977,2
45689,203103,143
45703,61414,47
45910,204539,8
45936,867225,81
46544,8198,42
46723,209460,104
46847,182226,16
46859,59777,2
46911,210746,37
47199,212722,99
47362,214148,30
47370,214287,3
48488,213709,1
48719,221873,59
49048,35935,19
49106,223802,98
49715,226986,95
50174,229740,120
50447,9744,80
50541,232066,21
50726,221843,2
51485,236655,163
51510,236846,146
51533,161581,2
51572,237329,198
51778,172137,20
52123,240834,26
52294,241678,81
53016,246260,26
53137,240360,1
53212,194739,177
53359,121809,3
53469,204539,33
53470,204539,6
53477,204539,12
53630,250209,28
53843,159708,45
53899,27104,85
54158,10889,164
54213,253979,4
54453,255583,10
54486,255748,107
54508,210746,60
54626,190409,30
54846,258054,14
54860,258164,97
55320,261202,53
55371,261484,4
55467,260709,86
55505,262095,44
55668,88209,81
55737,263414,48
55857,264100,11
55902,264514,176
55959,168525,35
56467,267593,36
56523,76055,12
56612,268542,0
56859,256161,115
56894,270364,0
57161,271975,109
57166,272006,6
57297,199392,118
57317,272784,71
57468,239208,103
57618,274557,35
57740,275459,2
57754,275578,58
57874,276291,87
57901,276207,7
58059,277379,231
58062,277394,10
58101,277595,128
58257,278545,7
58286,277053,46
58294,278807,12
58467,279797,4
58471,279829,0
58618,280698,129
58729,281343,20
59121,204539,1
59127,283395,111
59293,283395,1
59642,274782,51
59709,186084,9
59818,287773,23
59832,287658,18
60056,240834,42
60084,289271,25
60164,289653,24
60181,128806,24
60538,285597,110
60589,292132,43
60611,292204,152
60666,256161,98
60680,292630,44
60864,293911,5
61167,295760,21
61214,296119,7
61224,291112,22
61492,297769,103
61892,300359,20
62095,281764,148
62264,302936,17
62427,303882,34
62452,303939,99
62461,303939,62
62465,257306,41
62468,304081,28
62680,305314,55
62787,303939,116
62891,306545,121
62925,306739,93
63003,307241,26
63154,105155,18
63299,308875,77
63320,303939,106
63360,307962,220
63373,309329,5
63546,308652,33
63573,310458,8
63588,295128,0
63610,310670,11
63657,170510,165
63693,306545,108
63719,311286,30
63891,196764,8
63932,138069,14
64000,312722,4
64107,313317,168
64334,314377,91
64361,314562,45
64365,314582,122
64376,196764,39
64551,315396,76
64583,293150,29
64649,315841,233
64762,316523,31
64837,46978,117
64842,316989,43
64984,317687,40
65018,317795,4
65019,317809,46
65131,318398,12
65255,318998,19
65268,319092,39
65402,213645,24
65562,320450,0
65615,320761,14
65660,320538,63
65813,321756,11
65834,321934,11
65981,322729,61
66008,322884,12
66219,206769,47
66222,206769,17
66251,324460,7
66275,314941,24
66340,324859,223
66718,136227,88
66741,327673,68
66974,329436,12
67145,330660,28
67208,331195,252
67272,331589,59
67299,330347,35
67397,332189,55
67791,334949,132
67890,196764,5
68099,323517,72
68305,338454,56
68403,240427,71
68444,339426,192
68716,341904,10
68735,342054,23
68900,343250,3
68914,343302,22
68974,281229,103
69137,345437,32
69262,346366,3
69426,314506,178
69755,26210,84
69894,352168,25
69921,155689,34
70095,353965,51
70216,354965,11
70226,254913,102
70279,61531,21
70381,356484,92
70609,72062,22
70729,359573,29
71010,361855,4
71248,363834,28
71384,365153,49
71502,366325,30
71507,366380,0
71534,366492,95
71659,264514,152
71798,368932,11
71970,272651,13
72190,373085,30
72265,340692,10
72965,33405,24
73114,380742,2
73274,377002,51
74073,211877,11
74240,389924,44
74478,244444,15
74595,63607,1
74680,265109,60
74821,394640,38
74860,394752,1
75164,397983,46
75167,1420434,28
75612,401539,13
75635,401696,152
75727,402491,13
75770,205988,31
76081,405467,73
76221,394633,9
76761,118971,200
76963,411489,61
77046,406714,14
77455,217472,66
77765,417504,22
77799,417741,1
78331,420682,114
78603,422345,9
78919,422561,6
79067,425506,3
79537,428380,58
79635,429216,66
79749,429873,6
79782,430188,22
80074,432303,74
80493,434987,106
80684,417504,8
80700,417504,5
80924,438133,6
81739,417504,2
81771,444064,34
82132,446599,73
82459,160746,61
82525,449168,107
82549,448312,63
82550,448312,32
82638,449787,149
82928,451545,2
82946,451616,30
83243,453519,135
83378,454393,47
83656,455712,9
83760,456875,69
83811,457253,100
83847,410094,25
84010,417504,3
84417,103729,67
84480,313038,0
84659,462776,181
84905,464506,117
85213,422388,20
85252,287897,62
86215,327900,79
86698,475263,9
86847,475999,1
87279,478136,77
87853,480943,136
87987,277125,28
88329,482998,42
89621,209460,87
92242,496426,33
92894,82930,180
93313,25183,26
93540,501527,6
94477,478395,128
94783,473113,51
95883,509918,1
96471,116599,6
96804,277595,76
97587,283395,36
98259,180301,19
98663,520279,18
98724,519554,87
99070,522065,98
99913,506419,9
100002,523218,68
100023,526172,11
100184,526653,23
100186,526805,52
100368,526105,26
100433,527811,38
100645,528570,116
101633,532039,43
101735,532726,117
102389,535206,2
102452,535621,180
103161,465278,59
103311,417504,8
103518,539626,201
105790,548817,64
106363,551055,217
106369,342083,0
106457,5926,37
106647,552679,55
106906,553964,12
107143,554874,32
107415,556514,23
107630,306739,151
107690,196764,21
107698,557641,50
107799,558027,9
109788,565905,123
109891,566105,32
110739,568568,32
110921,456875,27
112304,573316,1
112359,571952,46
112435,181376,104
112648,574489,12
113092,575906,0
113265,314582,135
113945,275582,69
114070,146715,57
114123,579495,26
114229,314941,24
114388,580566,7
114940,582516,47
114969,582598,26
115064,582906,10
115535,567187,19
115678,127772,166
115748,585166,21
115786,585329,21
115959,586098,26
116551,497672,101
116940,209460,119
117411,592967,7
118061,2248897,20
118266,597295,88
118541,598591,3
118812,366325,1
119008,312405,41
120362,138069,23
121214,370823,31
121473,599002,37
121576,610769,66
121861,611716,22
123784,617990,44
124777,621559,78
125053,622460,26
125163,622855,11
125594,308652,64
126067,62812,6
126443,627217,196
126982,629050,138
127387,23276,3
128205,634195,6
128975,256161,71
129088,425157,198
130632,472572,20
130731,643414,107
130787,643414,152
131699,597085,167
131747,647988,57
131757,648017,152
132661,651818,21
133025,653405,44
133209,654304,82
134387,659570,118
134545,141272,18
134671,660764,0
134934,652842,15
134967,661949,5
135320,663430,23
135393,663764,110
135465,663879,35
136398,453519,125
136493,663384,8
136923,669913,13
137121,669695,94
137558,235719,7
137635,672898,29
137671,673090,11
138968,650107,12
139207,679037,6
139624,680818,53
140133,622866,56
140195,683027,57
140237,668326,30
140425,683975,78
140660,684966,75
140973,686147,47
141144,686652,0
141154,686768,105
141335,687361,24
141500,688082,48
141534,682418,63
141890,689661,18
141984,630453,37
144087,616825,6
144148,299755,34
144428,700008,54
144855,701571,20
145064,404424,8
145801,498734,15
146726,709334,17
146754,709434,34
146808,709687,3
147004,710669,1
147006,710669,4
147057,710669,4
147474,712642,0
147586,709334,33
148181,715763,0
148182,712453,15
148187,715763,0
148201,715807,18
148259,716064,18
148825,718349,65
149287,720320,0
149404,57406,27
149777,716306,39
150283,724146,4
150285,686813,6
150444,169899,0
150804,726333,5
150989,727084,16
151199,722320,211
151478,216191,7
152078,731904,8
152259,256161,68
152263,732535,86
152520,733894,40
152783,733627,30
152819,132701,57
152830,735084,34
152883,735314,153
153405,737585,64
153407,737607,1
153780,739499,113
153877,739976,94
155158,671139,80
155296,656841,18
156385,751812,19
157189,574489,85
157431,756173,15
157442,131005,13
158061,758441,24
158176,573065,34
158290,759583,39
158955,465589,201
159019,763021,20
159380,764836,34
159749,54275,26
159815,54275,9
159913,759883,0
160952,759583,13
160994,770831,69
161366,733894,28
161394,772300,3
161996,1856604,103
162429,753766,7
162493,776490,11
162508,776645,9
162955,314714,106
163627,242506,137
163814,627217,154
163836,32169,56
164652,193757,1
165254,18374,126
165461,867225,43
165653,789673,51
165824,733894,24
165919,790972,39
165960,289083,118
166006,791287,109
166172,792159,38
166809,754205,45
166983,795640,6
167030,795925,14
167222,22486,7
167482,789257,89
168042,800764,1
168084,800982,31
168123,720558,59
168546,803086,11
169002,805344,17
169063,498638,19
169152,806112,59
169306,806214,48
169479,807613,30
169480,608699,143
169532,807947,19
170420,812814,15
170441,812807,7
170847,814964,29
171203,319077,35
171562,60923,14
171776,803086,17
172445,602224,48
172499,823006,9
172675,58702,127
172700,302772,3
