listing_id,host_id,number_of_reviews
2515,2758,158
2539,2787,7
2595,2845,23
3330,4177,26
3647,4632,0
3831,4869,150
4611,5926,105
4989,7118,25
5054,7231,58
5121,7356,51
5135,7380,219
5172,7386,64
5178,8967,356
5203,7490,118
5238,7549,141
5295,7702,36
5435,7987,25
5441,7989,134
5803,9744,141
5945,4267,66
6090,11975,21
6848,15991,83
6990,16800,217
7036,53179,4
7097,17571,136
7322,18946,209
7748,17985,6
7801,21207,10
7816,21286,13
8024,22486,100
8025,22486,24
8110,22486,46
8225,2758,126
8343,24222,10
8490,25183,50
9123,29096,230
9357,30193,58
9518,31374,80
9657,21904,20
9668,32294,217
9704,32045,54
9782,32169,172
9783,32294,239
10452,35935,70
10962,9744,140
11708,44145,154
11900,45016,140
11943,45445,0
12048,7549,184
12192,46978,212
12299,47610,4
12303,47618,24
12318,16800,65
12382,48247,196
12579,49366,26
12627,49670,1
12937,50124,182
12940,50148,47
13050,50846,11
13076,50912,8
13362,52043,63
13380,52233,5
13394,52335,111
13536,53024,0
13552,7612,143
13808,54275,85
14290,56104,52
14314,56246,101
14322,56284,9
14377,56512,82
14434,7356,57
14435,56793,22
14468,56909,2
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,15
15220,59734,208
15230,59777,9
15239,16179,9
15338,32169,116
15345,60089,98
15385,60252,25
15491,59777,5
15493,59777,24
15509,59777,14
15729,61531,22
15940,62330,73
15944,62352,74
16089,656594,125
16326,63588,119
16338,63613,27
16422,63945,35
16458,64056,4
16580,64442,204
16595,64522,104
16737,65059,292
16821,4396,60
16866,65421,14
16971,65823,35
16974,65837,141
16990,59777,5
17052,66087,55
17092,66243,15
17226,4267,41
17240,59777,21
17297,67105,45
17298,67105,28
17299,67105,34
17453,67744,0
17693,68428,13
17747,68599,61
18195,70091,12
18590,71512,116
18728,71876,131
18764,72014,55
19159,73051,48
19169,73128,59
19319,44263,86
19812,74857,53
20299,62407,152
20300,76627,2
20611,72014,145
20724,961342,19
20734,78460,95
20793,42756,309
20853,79070,13
20913,79402,165
21218,42756,397
21220,42756,315
21293,44145,78
21456,42032,55
21644,82685,0
21794,83257,24
23135,11481,187
23265,49236,139
23269,49236,50
23501,63318,68
23545,92411,182
23686,93790,27
24143,97219,277
24261,97797,23
24266,97797,34
24269,97797,45
24281,97797,57
24285,97797,64
25192,104001,0
25235,87773,141
25406,105538,28
25696,107628,139
26012,109589,19
26362,59734,260
26559,112793,11
26785,42273,387
26954,115157,38
26969,115307,253
27006,115560,18
27024,3227,326
27385,72062,82
27531,118971,298
27644,119510,140
27659,119588,10
27759,119900,10
27883,120223,25
28321,65091,3
28327,121436,60
28342,121809,12
28383,25188,0
28396,6197784,10
28907,124352,20
29012,124797,36
29013,35935,53
29455,126607,110
29594,127428,21
29628,127608,208
29683,125857,52
30031,129352,138
30222,130293,151
30589,131716,87
30927,120335,27
30970,132918,179
31130,117287,25
31425,100956,84
31555,135619,19
31902,137292,1
31994,137814,356
32023,137974,163
32037,116599,63
32100,138579,3
32289,139612,8
32331,139874,4
32363,140025,1
32965,137974,89
33009,143027,189
33156,128669,19
33223,72014,159
34760,149929,3
35526,120291,45
35555,128931,4
35950,154332,33
35963,154377,14
36121,62165,9
36133,142684,134
36442,137432,2
36647,157798,34
36934,159370,21
37106,150715,10
37197,160605,51
37214,160671,10
38638,92788,107
38663,165789,19
38780,134505,44
38833,166532,145
39267,168417,182
39282,168525,164
39572,169927,30
39586,12220,177
39704,170510,269
40039,171851,14
40248,172907,1
40453,174025,4
41348,180083,49
41386,180380,18
41513,181167,2
41959,140272,229
42300,184755,57
42580,137814,227
42729,11481,112
42744,91536,7
42882,185978,146
43105,188082,1
43656,190934,22
44096,190409,112
44145,179020,120
44161,193360,193
44212,72062,54
44221,193722,94
44229,181376,161
44288,193637,72
44472,170703,16
44506,126607,34
44698,196764,122
45393,201297,38
45556,67778,132
45689,203103,223
45910,204539,9
45936,867225,96
45940,204724,14
46544,8198,46
46723,209460,114
46859,59777,5
46911,210746,41
47199,212722,139
47362,214148,30
47370,214287,3
48719,221873,68
49715,226986,111
50447,9744,115
50726,221843,3
51485,236655,212
51510,236846,208
51533,161581,2
51572,237329,290
51778,172137,26
52123,240834,28
52549,172137,22
52757,244497,28
53016,246260,64
53137,240360,1
53196,247432,9
53469,204539,33
53470,204539,6
53477,204539,13
53630,250209,74
53758,251176,87
53843,159708,50
54040,244497,0
54158,10889,255
54163,120024,0
54453,255583,10
54508,210746,64
54544,256161,78
54626,190409,61
54860,258164,145
55320,261202,67
55467,260709,168
55505,262095,50
55565,247432,52
55668,88209,109
55737,263414,92
55857,264100,12
55959,168525,61
56027,265284,18
56467,267593,111
56475,262143,13
56523,76055,15
56525,268014,56
56859,256161,151
57161,271975,152
57166,272006,11
57297,199392,163
57468,239208,164
57618,274557,68
57740,275459,3
57754,275578,84
57874,276291,147
57901,276207,8
58059,277379,356
58062,277394,10
58101,277595,185
58215,278291,19
58257,278545,9
58294,278807,12
58364,279194,4
58467,279797,11
58471,279829,0
59014,282927,32
59121,204539,1
59431,196764,15
59709,186084,11
59818,287773,35
60056,240834,54
60084,289271,28
60164,289653,60
60181,128806,31
60611,292204,179
60666,256161,147
60680,292630,76
60794,293394,4
60864,293911,11
60948,126607,93
61167,295760,21
61470,297666,3
61482,297629,16
61492,297769,137
61747,299370,89
61869,167921,8
62095,281764,195
62264,302936,20
62366,303562,9
62427,303882,46
62430,197755,70
62461,303939,97
62465,257306,74
62468,304081,29
62680,305314,68
62787,303939,148
62891,306545,156
62903,306605,51
62925,306739,111
63003,307241,76
63154,105155,19
63299,308875,105
63320,303939,153
63360,307962,321
63373,309329,21
63546,308652,39
63573,310458,9
63588,295128,0
63610,310670,12
63657,170510,216
63693,306545,129
63891,196764,14
64000,312722,8
64015,146944,0
64107,313317,234
64361,314562,56
64365,314582,173
64376,196764,59
64837,46978,160
64984,317687,47
64990,317684,13
65019,317809,97
65268,319092,59
65556,320422,0
65615,320761,33
65660,320538,85
65813,321756,12
65834,321934,11
65974,322716,14
66008,322884,32
66026,322716,10
66161,304493,0
66251,324460,32
66275,314941,65
66340,324859,276
66718,136227,137
66741,327673,130
66974,329436,35
67130,330488,175
67208,331195,306
67215,331224,17
67272,331589,73
67299,330347,45
67397,332189,68
67890,196764,9
68099,323517,87
68735,342054,25
68765,282655,33
68900,343250,6
68974,281229,154
69266,346370,21
69426,314506,201
69755,26210,111
69894,352168,30
69921,155689,37
70095,353965,91
70216,354965,18
70279,61531,49
70609,72062,32
71010,361855,18
71384,365153,49
71502,366325,30
71507,366380,26
71534,366492,159
72190,373085,32
72965,33405,33
73893,387111,7
74073,211877,16
74240,389924,54
74680,265109,118
74821,394640,44
74860,394752,1
75164,397983,53
75167,1420434,34
75193,308875,148
75635,401696,208
75770,205988,42
76761,118971,298
77765,417504,27
77799,417741,3
78331,420682,150
78919,422561,6
79067,425506,9
79749,429873,7
79782,430188,47
80493,434987,118
80684,417504,8
80700,417504,6
80924,438133,22
81739,417504,2
82525,449168,141
82549,448312,66
82550,448312,65
82638,449787,194
82885,451279,6
82928,451545,25
83081,452380,3
83243,453519,184
83760,456875,94
83811,457253,136
83847,410094,28
84010,417504,6
84059,459054,3
84480,313038,0
84645,462429,56
84659,462776,274
84905,464506,169
85094,322716,7
86215,327900,100
87279,478136,97
87853,480943,211
88329,482998,69
89427,116599,0
89621,209460,140
90426,297629,17
92242,496426,76
92894,82930,288
93313,25183,41
93540,501527,6
94035,35375,10
94477,478395,227
94783,473113,82
95747,509341,13
96471,116599,10
98663,520279,18
98724,519554,132
99070,522065,114
99913,506419,23
100002,523218,102
100023,526172,67
100184,526653,31
100186,526805,77
100368,526105,28
101633,532039,82
103161,465278,97
103311,417504,8
105416,540526,24
105790,548817,112
106363,551055,298
106457,5926,55
106647,552679,68
106906,553964,12
107630,306739,197
107690,196764,36
107895,3088389,47
110520,258867,2
110576,568103,34
110739,568568,50
110921,456875,41
112304,573316,1
112359,571952,54
112435,181376,130
113083,575828,26
113092,575906,0
113265,314582,200
113945,275582,103
114123,579495,26
114969,582598,35
115535,567187,25
115678,127772,233
115748,585166,28
116551,497672,159
116940,209460,175
117425,593115,86
118061,2248897,45
118680,599354,0
118812,366325,1
120489,57059,1
121473,599002,59
121861,611716,23
123784,617990,78
125053,622460,43
125163,622855,29
125594,308652,78
126443,627217,271
126816,620288,3
127387,23276,3
128975,256161,86
131154,275563,112
131747,647988,68
131757,648017,235
132516,85330,2
132570,651390,20
132661,651818,49
132695,507186,15
133025,653405,65
134224,186549,8
134671,660764,12
135320,663430,24
135393,663764,195
135465,663879,59
135706,665013,10
136493,663384,16
136528,655521,7
137303,671423,8
137671,673090,23
138216,674970,4
139207,679037,6
140133,622866,112
140195,683027,105
140237,668326,82
140425,683975,115
140660,684966,76
140973,686147,58
141154,686768,175
141335,687361,32
141890,689661,18
141984,630453,56
142069,277747,22
144087,616825,13
144428,700008,54
145064,404424,8
145188,703156,0
145777,705526,8
145994,706418,1
146189,707259,7
146726,709334,17
146754,709434,45
147004,710669,3
147006,710669,7
147057,710669,9
147474,712642,1
147586,709334,51
148201,715807,18
148568,717220,10
148825,718349,134
149210,178440,0
149287,720320,0
149404,57406,30
149777,716306,111
150804,726333,6
151199,722320,309
152071,731855,0
152078,731904,16
152259,256161,98
152263,732535,142
152520,733894,48
152819,132701,74
153405,737585,81
153780,739499,139
154934,745069,36
155158,671139,132
155296,656841,25
157431,756173,100
157442,131005,21
157673,757166,78
158061,758441,27
158176,573065,86
158290,759583,41
158913,762563,4
158955,465589,293
159019,763021,58
159749,54275,44
159815,54275,10
159913,759883,0
160609,769247,7
160952,759583,14
160994,770831,83
161366,733894,35
161394,772300,3
161996,1856604,157
162493,776490,31
162501,776519,9
162508,776645,16
162565,759163,11
163627,242506,195
163809,781647,14
163814,627217,210
163836,32169,67
164989,69439,24
165461,867225,51
165573,789393,6
165824,733894,29
165919,790972,39
166006,791287,175
166541,793620,19
166775,794534,0
166983,795640,6
167013,306605,2
167222,22486,16
168042,800764,1
168084,800982,46
168123,720558,89
168546,803086,11
169063,498638,27
169152,806112,87
169283,806644,1
169306,806214,71
169464,806774,63
169480,608699,195
169532,807947,34
170084,568103,28
170420,812814,15
170847,814964,41
171562,60923,18
171776,803086,17
171811,281138,15
172445,602224,53
172499,823006,19
172870,781647,41
173072,826192,68
173151,826459,194
173733,737845,169
173742,829652,93
174716,777146,0
174803,159703,82
174966,836168,26
175069,667770,205
175624,839427,9
176129,842082,86
176135,842125,28
176653,844862,31
177421,848748,6
177540,792601,19
177606,849492,61
177709,823392,26
179214,857977,27
179428,859218,47
179925,861848,8
180507,864735,18
180792,864735,20
180822,257885,149
181522,870122,9
181972,872121,73
182062,872612,16
182069,39260,57
182095,872805,55
182177,873273,228
182225,873491,0
182649,876054,169
182721,739073,23
182727,750992,25
185266,889106,6
185478,889963,117
186871,367494,10
187566,279078,122
187611,818487,1
187671,903140,5
187979,160101,88
187986,904833,2
188087,905708,67
188661,909146,60
188674,909234,62
188803,67778,1
189181,912541,1
189732,489400,137
189787,915640,65
190267,918866,33
190542,920542,28
190968,922922,21
190974,874471,133
191075,923915,59
193105,936114,35
193240,936991,26
193333,302936,50
193393,938056,97
193853,48599,22
194154,936830,35
195027,947654,10
195089,948075,136
195123,940724,192
195233,949221,21
195240,949221,27
195578,304493,37
195971,953279,69
195989,611716,147
196010,953565,15
196100,954367,43
197155,960836,97
197753,964482,233
197903,859218,58
197942,289135,156
197948,965458,146
198629,969709,16
198786,970385,231
199195,971075,42
199312,973438,199
199492,948338,12
199693,194917,33
200333,593927,0
200645,933378,0
201992,988350,83
202273,918087,72
203901,1000477,8
203907,66087,15
204833,903686,8
204959,464506,128
205043,1007558,180
205485,1010242,92
205735,1011426,38
205867,1012691,67
206071,12221,181
206316,1014639,2
206518,1015810,6
206772,1017473,19
206957,1018472,128
207049,686813,50
208148,1024355,14
209310,1031148,169
