listing_id,host_id,number_of_reviews
2515,2758,142
2539,2787,2
2595,2845,20
3330,4177,21
3647,4632,0
3831,4869,74
4611,5926,85
4984,7104,36
5099,7322,55
5107,7332,54
5121,7356,50
5172,7386,52
5178,8967,296
5203,7490,99
5238,7549,137
5258,7611,57
5270,7626,195
5295,7702,31
5441,7989,104
5803,9744,126
5857,10176,81
5945,4267,64
5947,10889,175
6848,15991,60
6990,16800,177
7036,53179,4
7097,17571,102
7121,17839,5
7322,18946,191
7540,19969,53
7801,21207,10
7816,21286,11
8024,22486,81
8025,22486,21
8110,22486,40
8225,2758,104
8270,23843,15
8343,24222,10
8371,24375,1
8490,25183,40
9123,29096,199
9357,30193,46
9518,31374,52
9657,21904,15
9668,32294,194
9704,32045,35
9782,32169,148
9783,32294,209
9896,33279,32
10423,36017,92
10452,35935,57
10962,9744,116
10994,33279,53
11174,40979,50
11708,44145,111
11793,32105,7
11900,45016,115
11943,45445,0
12048,7549,155
12192,46978,189
12303,47618,22
12318,16800,55
12382,48247,154
12543,49163,12
12579,49366,14
12937,50124,134
12940,50148,40
13050,50846,9
13076,50912,7
13362,52043,57
13380,52233,5
13394,52335,94
13414,52451,41
13488,52751,82
13552,7612,82
13808,54275,68
13974,41437,51
14287,56094,21
14290,56104,35
14314,56246,66
14322,56284,7
14374,2339,132
14377,56512,67
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,2
14708,55469,6
14991,59023,14
15110,3647,4
15220,59734,143
15230,59777,9
15239,16179,1
15338,32169,98
15341,60049,11
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,22
15509,59777,14
15700,61446,63
15711,61491,42
15940,62330,67
15944,62352,48
15962,62407,58
16056,62687,9
16089,656594,109
16326,63588,95
16338,63613,23
16417,63914,64
16421,63924,176
16422,63945,29
16580,64442,128
16595,64522,90
16737,65059,233
16821,4396,35
16928,65676,44
16949,65738,16
16971,65823,32
16974,65837,114
16990,59777,5
17037,66035,41
17052,66087,53
17226,4267,31
17240,59777,21
17297,67105,34
17298,67105,23
17299,67105,32
17454,7230,7
17535,55021,62
18127,69829,17
18152,69942,99
18195,70091,12
18590,71512,91
18728,71876,109
18764,72014,55
19159,73051,46
19169,73128,55
19319,44263,72
19420,71776,35
19601,74303,25
19743,74686,21
20299,62407,122
20300,76627,2
20611,72014,117
20724,961342,13
20734,78460,39
20755,51038,10
20793,42756,271
20853,79070,5
20913,79402,150
20959,42756,19
21218,42756,321
21220,42756,255
21293,44145,50
21456,42032,44
21530,82260,107
21644,82685,0
21794,83257,15
22562,86790,64
22673,87336,16
22911,87773,130
23135,11481,139
23265,49236,126
23269,49236,36
23416,91599,2
23481,91960,66
23501,63318,68
23545,92411,153
23586,92821,52
23686,93790,20
24143,97219,214
24189,3115758,34
24215,97701,89
24261,97797,21
24266,97797,32
24269,97797,39
24281,97797,48
24285,97797,48
