listing_id,host_id,number_of_reviews
2515,2758,144
2539,2787,3
2595,2845,20
3647,4632,0
3831,4869,85
4611,5926,87
5099,7322,57
5107,7332,58
5121,7356,50
5172,7386,53
5178,8967,306
5203,7490,99
5238,7549,138
5270,7626,206
5441,7989,108
5803,9744,132
5857,10176,84
5945,4267,64
6848,15991,68
6990,16800,183
7036,53179,4
7097,17571,110
7322,18946,197
7748,17985,5
7801,21207,10
7816,21286,11
8024,22486,83
8025,22486,22
8110,22486,41
8225,2758,107
8270,23843,16
8343,24222,10
8371,24375,1
8490,25183,40
9123,29096,206
9357,30193,50
9657,21904,17
9668,32294,196
9704,32045,39
9782,32169,153
9783,32294,213
9896,33279,32
10423,36017,93
10452,35935,61
10962,9744,124
10994,33279,54
11174,40979,52
11708,44145,116
11900,45016,124
11943,45445,0
12048,7549,155
12192,46978,195
12299,47610,3
12303,47618,23
12318,16800,58
12382,48247,159
12579,49366,14
12596,62745,78
12622,49623,29
12937,50124,141
12940,50148,40
13050,50846,10
13076,50912,7
13362,52043,60
13380,52233,5
13394,52335,99
13488,52751,85
13808,54275,69
13974,41437,51
14287,56094,21
14290,56104,36
14314,56246,69
14322,56284,7
14374,2339,136
14377,56512,70
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,3
14708,55469,6
14991,59023,14
15110,3647,4
15220,59734,149
15230,59777,9
15239,16179,2
15338,32169,101
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,23
15509,59777,14
15711,61491,42
15944,62352,50
15962,62407,58
16008,62132,37
16056,62687,11
16089,656594,114
16326,63588,100
16338,63613,24
16421,63924,179
16422,63945,32
16580,64442,144
16583,39527,37
16737,65059,245
16821,4396,40
16866,65421,6
16971,65823,35
16974,65837,119
16990,59777,5
17037,66035,44
17052,66087,53
17226,4267,33
17240,59777,21
17297,67105,36
17298,67105,23
17299,67105,32
17453,67744,0
17454,7230,7
17535,55021,62
17693,68428,0
17747,68599,52
18127,69829,17
18195,70091,12
18590,71512,94
18728,71876,112
18764,72014,55
19159,73051,46
19169,73128,55
19319,44263,75
19601,74303,25
19812,74857,48
20299,62407,127
20300,76627,2
20611,72014,122
20724,961342,14
20734,78460,47
20793,42756,275
20853,79070,5
20913,79402,156
21218,42756,335
21220,42756,262
21293,44145,57
21530,82260,115
21644,82685,0
21794,83257,19
22911,87773,134
23135,11481,150
23265,49236,130
23269,49236,39
23481,91960,71
23501,63318,68
23545,92411,158
23686,93790,21
24143,97219,226
24189,3115758,35
24215,97701,91
24261,97797,21
24266,97797,32
24269,97797,42
24281,97797,49
24285,97797,51
24686,100572,33
25192,104001,0
25235,87773,111
25406,105538,23
25696,107628,96
26012,109589,17
26238,110930,138
26362,59734,221
26520,51038,11
26785,42273,313
26864,114590,5
26933,72062,5
26969,115307,216
27006,115560,16
27024,3227,237
27159,116382,255
27385,72062,68
27403,117958,7
27531,118971,241
27644,119510,111
27659,119588,6
