listing_id,host_id,number_of_reviews
105,500,39
2515,2758,120
2595,2845,17
3330,4177,16
3831,4869,14
4573,5871,5
4611,5926,68
4989,7118,14
5044,7222,42
5099,7322,47
5121,7356,41
5172,7386,42
5178,8967,242
5216,7510,29
5238,7549,112
5258,7611,51
5270,7626,156
5295,7702,30
5435,7987,24
5441,7989,74
5489,8178,221
5552,8380,57
5803,9744,118
5857,10176,60
5945,4267,62
5947,10889,132
6011,11481,119
6103,5871,12
6111,12169,91
6171,12712,146
6202,12869,13
6365,13654,11
6416,13908,12
6671,15167,13
6990,16800,150
7036,53179,4
7097,17571,80
7131,17985,38
7258,18729,9
7503,19852,8
7540,19969,52
7573,20149,46
7816,21286,9
8024,22486,77
8025,22486,17
8110,22486,39
8225,2758,81
8270,23843,15
8343,24222,9
8490,25183,36
9073,28738,0
9123,29096,165
9357,30193,40
9529,30990,109
9657,21904,8
9668,32294,179
9680,32330,73
9704,32045,12
9782,32169,127
9783,32294,184
9896,33279,31
9985,32330,83
10207,35017,20
10423,36017,82
10452,35935,48
10767,38649,123
10950,39636,35
10962,9744,95
10994,33279,32
11705,44136,7
11708,44145,85
11777,32330,63
11793,32105,7
11900,45016,103
11929,45324,1
11930,45324,2
11931,45324,6
11943,45445,0
12048,7549,132
12192,46978,157
12303,47618,21
12370,48143,9
12382,48247,125
12579,49366,13
12596,62745,71
12622,49623,28
12639,48143,2
12937,50124,97
12940,50148,29
13002,22486,6
13076,50912,7
13121,27848,57
13380,52233,4
13394,52335,82
13488,52751,60
13495,52788,19
13552,7612,29
13808,54275,56
13910,45324,6
13974,41437,48
14074,55298,90
14290,56104,33
14314,56246,51
14322,56284,4
14374,2339,95
14377,56512,57
14434,7356,52
14478,56944,13
14580,56944,63
14694,55469,5
14699,55469,1
14708,55469,6
14779,50148,49
14940,56663,25
14983,58979,28
14991,59023,14
15049,59254,50
15110,3647,4
15220,59734,116
15230,59777,7
15338,32169,88
15341,60049,8
15352,60185,1
15385,60252,15
15441,60584,4
15491,59777,4
15493,59777,22
15509,59777,13
15517,60810,43
15688,61414,61
15700,61446,63
15712,61494,26
15729,61531,20
15796,61414,44
15875,61862,51
15940,62330,52
15944,62352,30
15962,62407,55
16089,656594,106
16326,63588,75
16338,63613,20
16421,63924,145
16422,63945,25
16486,64164,68
16550,64334,2
16580,64442,80
16595,64522,69
16701,64894,67
16737,65059,188
16794,65197,14
16821,4396,23
16928,65676,32
16974,65837,91
16990,59777,5
17052,66087,47
17092,66243,7
17122,66346,97
17135,66397,25
17226,4267,28
17240,59777,21
17296,67105,22
17297,67105,26
