listing_id,host_id,number_of_reviews
2515,2758,159
2539,2787,7
2595,2845,25
3330,4177,26
3647,4632,0
3831,4869,159
4611,5926,105
4989,7118,25
5054,7231,58
5099,7322,63
5121,7356,51
5135,7380,219
5172,7386,64
5178,8967,360
5203,7490,118
5238,7549,142
5295,7702,36
5435,7987,25
5441,7989,137
5803,9744,141
5945,4267,66
6090,11975,21
6848,15991,83
6990,16800,220
7036,53179,4
7097,17571,139
7241,18583,61
7322,18946,209
7385,19531,8
7748,17985,6
7801,21207,10
7816,21286,13
8024,22486,101
8025,22486,25
8110,22486,48
8225,2758,127
8343,24222,10
8490,25183,51
9123,29096,231
9357,30193,58
9518,31374,81
9657,21904,20
9668,32294,218
9704,32045,55
9782,32169,174
9783,32294,241
10452,35935,70
10962,9744,142
11708,44145,160
11900,45016,142
11943,45445,0
12048,7549,184
12192,46978,212
12299,47610,4
12303,47618,24
12318,16800,65
12382,48247,202
12579,49366,27
12627,49670,1
12937,50124,184
12940,50148,47
13050,50846,11
13076,50912,9
13380,52233,5
13394,52335,111
13536,53024,1
13552,7612,146
13808,54275,89
14290,56104,52
14314,56246,105
14322,56284,9
14377,56512,82
14434,7356,57
14435,56793,22
14468,56909,3
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,15
15220,59734,212
15239,16179,9
15338,32169,117
15385,60252,26
15711,61491,49
15729,61531,22
15940,62330,73
15944,62352,74
16089,656594,125
16284,63394,70
16326,63588,121
16338,63613,27
16422,63945,35
16458,64056,4
16580,64442,212
16595,64522,104
16737,65059,296
16821,4396,62
16866,65421,14
16885,25188,0
16971,65823,35
16974,65837,142
17037,66035,47
17052,66087,55
17092,66243,15
17226,4267,41
17297,67105,45
17298,67105,28
17299,67105,35
17453,67744,0
17693,68428,16
17747,68599,62
18195,70091,12
18590,71512,117
18728,71876,132
18764,72014,55
19159,73051,48
19169,73128,60
19319,44263,87
19812,74857,53
20299,62407,153
20300,76627,2
20311,11365,33
20611,72014,146
20724,961342,19
20734,78460,101
20793,42756,311
20853,79070,13
21218,42756,401
21220,42756,316
21293,44145,80
21456,42032,57
21530,82260,139
21644,82685,0
21794,83257,24
23135,11481,191
23501,63318,68
23545,92411,185
23686,93790,27
24143,97219,279
24261,97797,24
24266,97797,35
24269,97797,46
24281,97797,60
24285,97797,66
25192,104001,0
25235,87773,142
25406,105538,28
25696,107628,143
26012,109589,19
26362,59734,263
26559,112793,11
26785,42273,394
26954,115157,38
26969,115307,258
27006,115560,18
27024,3227,332
27385,72062,82
27531,118971,302
27644,119510,141
27659,119588,10
27759,119900,10
27883,120223,25
28321,65091,3
28327,121436,60
28342,121809,12
28383,25188,0
28396,6197784,10
28907,124352,20
29012,124797,36
29013,35935,53
29414,125857,95
29455,126607,114
29594,127428,21
29628,127608,210
30031,129352,141
30222,130293,154
30589,131716,87
30970,132918,181
31130,117287,25
31425,100956,85
31555,135619,19
31902,137292,1
31994,137814,361
32023,137974,164
32037,116599,64
32100,138579,3
32289,139612,8
32331,139874,4
32363,140025,1
32965,137974,91
33009,143027,191
33156,128669,19
33223,72014,161
34760,149929,3
35526,120291,47
35555,128931,4
35950,154332,33
35963,154377,14
36121,62165,9
36133,142684,135
36442,137432,2
36647,157798,34
36934,159370,21
37106,150715,10
37197,160605,53
38638,92788,107
38663,165789,19
38780,134505,44
38833,166532,146
39267,168417,185
39282,168525,165
39572,169927,30
39704,170510,270
40039,171851,14
40248,172907,1
40453,174025,4
41348,180083,51
41386,180380,18
41513,181167,2
41959,140272,233
42300,184755,57
42580,137814,229
42729,11481,115
42744,91536,7
42882,185978,146
43656,190934,22
44096,190409,113
44145,179020,120
44161,193360,193
44212,72062,55
44221,193722,97
44229,181376,163
44288,193637,72
44472,170703,16
44506,126607,35
44698,196764,122
45393,201297,38
45556,67778,135
45689,203103,226
45910,204539,9
45936,867225,96
45940,204724,14
46544,8198,46
46723,209460,115
46911,210746,41
47199,212722,142
47362,214148,30
47370,214287,3
48719,221873,70
49715,226986,113
50174,229740,164
50447,9744,117
50726,221843,3
51485,236655,216
51510,236846,211
51533,161581,2
51572,237329,293
51778,172137,27
52123,240834,28
52549,172137,22
52757,244497,28
53016,246260,65
53137,240360,1
53196,247432,9
53469,204539,33
53470,204539,6
53477,204539,13
53630,250209,76
53758,251176,87
53843,159708,50
54040,244497,0
54158,10889,258
54163,120024,0
54453,255583,10
54508,210746,66
54544,256161,78
54626,190409,61
54860,258164,147
55320,261202,68
55467,260709,169
55505,262095,50
55565,247432,53
55668,88209,109
55737,263414,96
55857,264100,12
55959,168525,64
56027,265284,18
56467,267593,117
56475,262143,13
56523,76055,16
56855,267230,0
56859,256161,153
57161,271975,153
57166,272006,11
57297,199392,163
57468,239208,166
57618,274557,69
57740,275459,3
57754,275578,84
57874,276291,151
57901,276207,8
58059,277379,360
58062,277394,10
58101,277595,192
58257,278545,9
58294,278807,12
58467,279797,11
58471,279829,0
59014,282927,32
59121,204539,1
59431,196764,15
59642,274782,61
59709,186084,11
59818,287773,35
60056,240834,54
60084,289271,28
60164,289653,61
60611,292204,180
60666,256161,149
60680,292630,79
60794,293394,4
60864,293911,11
60948,126607,96
61167,295760,21
61470,297666,3
61482,297629,16
61492,297769,139
61747,299370,92
61869,167921,8
62095,281764,195
62230,302772,26
62264,302936,20
62427,303882,46
62430,197755,75
62452,303939,147
62461,303939,97
62465,257306,74
62468,304081,29
62680,305314,68
62787,303939,150
62891,306545,156
62903,306605,52
62925,306739,112
63003,307241,77
63154,105155,19
63299,308875,109
63320,303939,155
63360,307962,325
63373,309329,21
63546,308652,39
63573,310458,9
63588,295128,0
63610,310670,14
63640,128447,5
63657,170510,219
63693,306545,129
63891,196764,14
64000,312722,8
64015,146944,0
64107,313317,237
64314,314256,42
64361,314562,56
64365,314582,176
64376,196764,59
64551,315396,160
64627,7740,126
64837,46978,160
64984,317687,47
64990,317684,13
65019,317809,102
65268,319092,59
65556,320422,0
65615,320761,34
65660,320538,86
65813,321756,14
65834,321934,11
65974,322716,14
66008,322884,32
66026,322716,10
66161,304493,0
66251,324460,33
66275,314941,67
66340,324859,279
66718,136227,140
66741,327673,135
66974,329436,35
67130,330488,179
67208,331195,306
67272,331589,73
67299,330347,46
67397,332189,69
67890,196764,9
68099,323517,89
68735,342054,25
68765,282655,37
68900,343250,6
68974,281229,155
69266,346370,21
69426,314506,201
69755,26210,112
69894,352168,30
69921,155689,37
70095,353965,92
70128,354330,42
70216,354965,18
70279,61531,50
70609,72062,32
71010,361855,20
71248,363834,31
71384,365153,49
71502,366325,30
71507,366380,27
71534,366492,164
72190,373085,32
72265,340692,15
72965,33405,34
73893,387111,7
74073,211877,16
74240,389924,54
74680,265109,120
74821,394640,44
74860,394752,1
75164,397983,53
75193,308875,151
75635,401696,211
75770,205988,42
76761,118971,300
77765,417504,27
77799,417741,4
78331,420682,150
78919,422561,6
79067,425506,9
79749,429873,7
79782,430188,47
80493,434987,120
80684,417504,8
80700,417504,6
80924,438133,22
81739,417504,2
82549,448312,66
82550,448312,65
82885,451279,8
82928,451545,25
83081,452380,3
83243,453519,185
83760,456875,94
83811,457253,142
83847,410094,29
84010,417504,6
84059,459054,3
84480,313038,0
84645,462429,56
84659,462776,280
84905,464506,171
85094,322716,8
86215,327900,104
87279,478136,98
87853,480943,215
88329,482998,69
89427,116599,0
89621,209460,144
90426,297629,19
92242,496426,77
92894,82930,295
93313,25183,42
