listing_id,host_id,number_of_reviews
2515,2758,156
2539,2787,7
2595,2845,21
3330,4177,24
3647,4632,0
3831,4869,141
4611,5926,101
4989,7118,24
5099,7322,62
5121,7356,50
5172,7386,60
5178,8967,346
5203,7490,118
5238,7549,141
5295,7702,36
5441,7989,129
5803,9744,139
5945,4267,64
6848,15991,80
6990,16800,212
7036,53179,4
7097,17571,131
7322,18946,209
7748,17985,6
7801,21207,10
7816,21286,13
8024,22486,93
8025,22486,24
8110,22486,43
8225,2758,124
8343,24222,10
8371,24375,1
8477,25137,21
8490,25183,46
9357,30193,58
9518,31374,77
9657,21904,20
9668,32294,212
9704,32045,46
9782,32169,169
9783,32294,235
10962,9744,138
11174,40979,52
11708,44145,146
11900,45016,136
11943,45445,0
12048,7549,181
12192,46978,209
12299,47610,3
12303,47618,24
12318,16800,62
12382,48247,193
12579,49366,21
12627,49670,0
12937,50124,173
12940,50148,46
13050,50846,11
13076,50912,8
13121,27848,61
13362,52043,60
13380,52233,5
13394,52335,107
13414,52451,47
13552,7612,131
13808,54275,76
14290,56104,49
14314,56246,88
14322,56284,9
14377,56512,78
14434,7356,57
14435,56793,22
14468,56909,1
14694,55469,6
14699,55469,3
14708,55469,7
14991,59023,15
15220,59734,196
15239,16179,8
15338,32169,115
15345,60089,98
15385,60252,22
15711,61491,47
15729,61531,22
15875,61862,60
15944,62352,68
16076,9253,34
16089,656594,122
16326,63588,114
16338,63613,26
16422,63945,32
16458,64056,2
16580,64442,193
16595,64522,97
16737,65059,284
16821,4396,57
16866,65421,14
16928,65676,52
16971,65823,35
16974,65837,137
17052,66087,55
17092,66243,14
17135,66397,58
17226,4267,41
17297,67105,42
17298,67105,25
17299,67105,34
17453,67744,0
17693,68428,9
17747,68599,56
18590,71512,112
18728,71876,126
18764,72014,55
19159,73051,48
19169,73128,59
19319,44263,85
19812,74857,50
20299,62407,148
20300,76627,2
20611,72014,140
20724,961342,18
20734,78460,87
20793,42756,304
20853,79070,12
20913,79402,162
20959,42756,20
21218,42756,387
21220,42756,307
21293,44145,75
21456,42032,50
21644,82685,0
21794,83257,24
23135,11481,182
23481,91960,82
23501,63318,68
23545,92411,177
23686,93790,23
24143,97219,269
24261,97797,23
24266,97797,34
24269,97797,44
24281,97797,55
24285,97797,62
25192,104001,0
25235,87773,137
25406,105538,26
