listing_id,host_id,number_of_reviews
2515,2758,138
2539,2787,1
2595,2845,20
3330,4177,19
3831,4869,66
4611,5926,80
4984,7104,36
5099,7322,55
5107,7332,49
5121,7356,50
5172,7386,50
5178,8967,286
5203,7490,99
5222,7516,94
5238,7549,132
5258,7611,56
5270,7626,191
5295,7702,31
5441,7989,92
5552,8380,62
5803,9744,125
5857,10176,76
5945,4267,64
5947,10889,161
6365,13654,25
6476,14356,3
6848,15991,52
6990,16800,177
7036,53179,4
7097,17571,99
7136,18041,1
7258,18729,10
7322,18946,179
7540,19969,53
7801,21207,10
7816,21286,11
8024,22486,79
8025,22486,20
8110,22486,40
8225,2758,96
8270,23843,15
8293,19610,88
8343,24222,10
8371,24375,1
8490,25183,39
9123,29096,193
9357,30193,44
9518,31374,49
9657,21904,15
9668,32294,192
9704,32045,30
9782,32169,142
9783,32294,205
9896,33279,32
10423,36017,91
10452,35935,54
10962,9744,112
10994,33279,53
11708,44145,105
11793,32105,7
11900,45016,113
11943,45445,0
12048,7549,154
12192,46978,185
12299,47610,1
12303,47618,22
12318,16800,55
12382,48247,144
12543,49163,12
12579,49366,14
12937,50124,127
12940,50148,40
13002,22486,13
13050,50846,5
13076,50912,7
13380,52233,5
13394,52335,92
13488,52751,77
13552,7612,68
13808,54275,68
14287,56094,21
14290,56104,35
14314,56246,64
14322,56284,7
14368,56471,42
14374,2339,128
14377,56512,67
14434,7356,57
14435,56793,22
14694,55469,6
14699,55469,2
14708,55469,6
14991,59023,14
15110,3647,4
15230,59777,9
15239,16179,0
15338,32169,98
15341,60049,11
15345,60089,98
15385,60252,20
15491,59777,5
15493,59777,22
15509,59777,14
15688,61414,76
15700,61446,63
15711,61491,42
15729,61531,20
15875,61862,59
15940,62330,65
15944,62352,45
15962,62407,58
16056,62687,5
16089,656594,109
16326,63588,90
16338,63613,22
16417,63914,63
16421,63924,167
16422,63945,29
16567,64381,62
16580,64442,119
16595,64522,85
16737,65059,227
16794,65197,40
16821,4396,29
16928,65676,41
16971,65823,31
16974,65837,110
16990,59777,5
17037,66035,39
17052,66087,52
17226,4267,31
17240,59777,21
17297,67105,31
17298,67105,23
17299,67105,32
17454,7230,7
17535,55021,61
18127,69829,17
18152,69942,99
18195,70091,11
18590,71512,86
18728,71876,106
18764,72014,55
19159,73051,45
19169,73128,53
19282,73469,9
19319,44263,72
19601,74303,24
19743,74686,21
20299,62407,118
20300,76627,2
20611,72014,112
20724,961342,12
20734,78460,33
20755,51038,10
20793,42756,262
20853,79070,4
20913,79402,143
20959,42756,19
21127,69587,1
21218,42756,310
21220,42756,239
21293,44145,47
21456,42032,42
21530,82260,103
21644,82685,0
21794,83257,11
22562,86790,64
22673,87336,16
22911,87773,124
23135,11481,133
23265,49236,126
23269,49236,35
23501,63318,68
23545,92411,150
23586,92821,52
23686,93790,19
23942,95605,104
24143,97219,209
24189,3115758,34
24215,97701,88
24261,97797,21
24266,97797,31
24269,97797,38
24281,97797,47
24285,97797,47
25192,104001,0
25235,87773,96
25406,105538,22
25529,106551,54
25696,107628,80
26012,109589,12
26238,110930,121
26520,51038,10
26590,112983,11
26785,42273,298
26864,114590,5
26933,72062,5
26969,115307,198
27006,115560,12
