host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
3709510,3,0.0,0.06,0.0,0.057391305,0.67,0.055,0.33,0.0796,0.0,0.08923077,0.33,0.08592593,0.0,0.094642855,0.0,0.09137931,0.0,0.08833333,0.33,0.08548387,0.0,0.093125
3716641,6,0.0,0.30272728,0.67,0.2895652,0.17,0.30541667,0.17,0.3,0.33,0.295,0.17,0.2962963,0.17,0.29178572,0.17,0.2875862,0.33,0.28366667,0.33,0.2851613,0.17,0.2865625
3793540,3,0.0,0.68136364,0.0,0.6517391,0.67,0.6245833,0.33,0.6264,0.0,0.615,0.0,0.5922222,0.67,0.57107145,0.33,0.57448274,0.33,0.56633335,0.67,0.5587097,0.67,0.5621875
4014688,6,0.5,1.105,1.33,1.0786957,0.83,1.0891666,2.33,1.0788,1.33,1.1269231,1.83,1.1344445,2.17,1.1592857,3.0,1.1941379,1.5,1.2543334,1.83,1.262258,0.67,1.28
4050318,3,0.0,0.19681819,0.0,0.18826087,0.0,0.18041667,0.0,0.1732,0.0,0.16653846,0.0,0.16037036,0.0,0.15464285,0.0,0.14931035,0.0,0.14433333,0.0,0.13967742,0.0,0.1353125
4112404,3,0.0,0.06,0.0,0.057391305,0.0,0.055,0.0,0.0528,0.0,0.050769232,0.0,0.04888889,0.0,0.047142856,0.0,0.04551724,0.0,0.044,0.0,0.042580646,0.0,0.04125
4113132,4,0.0,1.5454545,0.25,1.4782609,1.25,1.4270834,1.5,1.42,0.75,1.4230769,0.5,1.3981482,1.25,1.3660715,1.25,1.362069,0.0,1.3583333,0.5,1.3145162,0.75,1.2890625
4129805,3,1.33,1.8936363,1.67,1.8691305,0.33,1.8608333,2.0,1.7996,2.33,1.8073077,1.0,1.8266667,2.0,1.7971429,1.0,1.804138,2.67,1.7773334,4.0,1.806129,1.0,1.8746876
4259154,3,0.33,0.99954545,1.0,0.9704348,0.67,0.9716667,1.33,0.9596,0.0,0.97384614,0.67,0.93777776,2.67,0.9282143,1.0,0.9882759,0.67,0.98866665,1.33,0.9783871,0.33,0.989375
4297106,3,3.33,2.8481817,2.67,2.8691304,6.33,2.8608334,4.0,2.9996,8.0,3.0380769,4.33,3.2218518,1.67,3.2614286,4.67,3.2065518,3.67,3.2553334,7.0,3.2687097,4.33,3.3853126
4299040,4,0.0,0.65909094,0.0,0.6304348,0.75,0.6041667,0.0,0.61,0.25,0.58653843,1.5,0.5740741,0.75,0.60714287,0.0,0.61206895,0.0,0.59166664,1.25,0.57258064,0.5,0.59375
4601412,3,3.67,3.9545455,2.33,3.942174,4.33,3.875,5.0,3.8932,3.33,3.9357693,3.0,3.9133334,3.33,3.8807142,3.67,3.8617241,4.33,3.8553333,4.33,3.870645,2.67,3.885
4734398,3,11.0,10.894091,9.33,10.898696,5.33,10.833333,12.0,10.6132,14.67,10.666538,12.0,10.814815,10.0,10.857142,10.33,10.827586,8.33,10.811,6.33,10.7309675,3.0,10.593437
5006781,4,4.0,3.9886363,5.0,3.9891305,3.75,4.03125,5.25,4.02,4.0,4.0673075,5.25,4.064815,3.0,4.107143,2.5,4.0689654,1.0,4.016667,6.5,3.919355,2.75,4.0
5164854,3,0.33,0.25727272,0.0,0.26043478,0.0,0.24958333,0.33,0.2396,1.33,0.24307692,0.0,0.28333333,0.67,0.27321428,0.0,0.28689656,0.33,0.27733332,1.0,0.27903226,0.0,0.3015625
5176701,3,0.0,1.1668181,0.67,1.116087,2.0,1.0975,0.67,1.1336,0.0,1.1157693,0.33,1.0744444,0.33,1.0478572,1.0,1.0231035,0.33,1.0223334,0.0,1.0,0.0,0.96875
5500327,4,0.25,0.875,0.5,0.84782606,1.75,0.8333333,0.75,0.87,0.0,0.86538464,1.0,0.8333333,1.75,0.83928573,1.25,0.87068963,0.75,0.8833333,1.0,0.87903225,0.75,0.8828125
6008257,4,9.0,7.375,8.0,7.445652,7.25,7.46875,9.25,7.46,7.0,7.5288463,6.0,7.509259,10.75,7.455357,8.0,7.5689654,9.75,7.5833335,6.0,7.653226,4.0,7.6015625
6720885,4,0.5,0.625,1.0,0.6195652,0.0,0.6354167,0.25,0.61,0.0,0.59615386,0.75,0.5740741,0.75,0.58035713,1.75,0.5862069,0.5,0.625,0.75,0.62096775,0.75,0.625
6885157,7,1.14,1.0190909,1.43,1.0243478,2.57,1.04125,3.14,1.1024,2.43,1.1807692,3.86,1.2270371,3.86,1.3210714,3.57,1.4086207,2.86,1.4806666,3.57,1.5251613,2.43,1.5890625
7136700,3,1.33,1.7122728,1.33,1.6956521,2.33,1.6804167,1.33,1.7064,2.33,1.691923,2.33,1.7155555,2.0,1.7375,2.33,1.7465518,2.67,1.766,4.33,1.7951612,1.0,1.874375
8288419,4,1.25,1.75,1.75,1.7282609,3.0,1.7291666,1.75,1.78,1.75,1.7788461,1.75,1.7777778,1.5,1.7767857,2.25,1.7672414,1.0,1.7833333,1.5,1.7580645,1.0,1.75
8792814,3,0.0,0.5304545,0.33,0.50739133,1.0,0.5,0.67,0.52,0.67,0.52576923,0.67,0.5311111,1.67,0.5360714,1.0,0.5751724,0.0,0.58933336,0.67,0.5703226,0.0,0.5734375
9522524,3,0.33,1.6672727,1.33,1.6091304,1.33,1.5975,0.33,1.5868,2.33,1.5384616,1.67,1.5677778,0.0,1.5714285,0.33,1.5172414,0.67,1.4776666,0.67,1.451613,0.33,1.4271874
9820942,3,2.67,3.726818,6.33,3.6808696,5.67,3.79125,4.67,3.8664,2.67,3.8973076,6.0,3.851852,4.33,3.9285715,4.67,3.9424138,4.33,3.9666667,5.67,3.978387,3.0,4.03125
9996045,3,0.33,0.91,1.33,0.8847826,1.67,0.9033333,0.67,0.934,1.67,0.9238461,2.0,0.95148146,1.0,0.98892856,2.0,0.9893103,1.0,1.023,1.67,1.022258,0.0,1.0425
13649613,3,2.33,2.304091,1.0,2.3052175,2.33,2.2508333,1.0,2.254,2.33,2.2057693,4.0,2.2103703,1.33,2.2742858,1.33,2.2417243,2.0,2.2113333,2.67,2.2045162,1.33,2.2190626
14902860,5,0.0,0.8272727,0.6,0.79130435,1.2,0.78333336,0.8,0.8,0.4,0.8,1.0,0.78518516,1.2,0.79285717,1.2,0.80689657,0.2,0.82,1.2,0.8,0.0,0.8125
15603335,3,0.0,0.015,0.0,0.014347826,0.0,0.01375,0.0,0.0132,0.0,0.012692308,0.0,0.012222222,0.0,0.011785714,0.0,0.01137931,0.0,0.011,0.0,0.010645161,0.0,0.0103125
