host_id,number_of_listings,number_of_actual_bookings_042017,number_of_predicted_bookings_042017,number_of_actual_bookings_052017,number_of_predicted_bookings_052017,number_of_actual_bookings_062017,number_of_predicted_bookings_062017,number_of_actual_bookings_072017,number_of_predicted_bookings_072017,number_of_actual_bookings_082017,number_of_predicted_bookings_082017,number_of_actual_bookings_092017,number_of_predicted_bookings_092017,number_of_actual_bookings_102017,number_of_predicted_bookings_102017,number_of_actual_bookings_112017,number_of_predicted_bookings_112017,number_of_actual_bookings_122017,number_of_predicted_bookings_122017,number_of_actual_bookings_012018,number_of_predicted_bookings_012018,number_of_actual_bookings_022018,number_of_predicted_bookings_022018
4601412,3,3.67,2.67,2.33,4.0,4.33,3.0,5.0,4.33,3.33,3.33,3.0,4.0,3.33,4.67,3.67,4.67,4.33,3.67,4.33,4.33,2.67,3.67
4734398,3,11.0,10.33,9.33,9.33,5.33,10.33,12.0,9.0,14.67,9.0,12.0,11.67,10.0,7.67,10.33,12.0,8.33,8.67,6.33,11.33,3.0,8.67
5006781,4,4.0,4.0,5.0,3.5,3.75,3.25,5.25,2.75,4.0,3.75,5.25,2.5,3.0,2.5,2.5,3.5,1.0,5.0,6.5,4.25,2.75,3.25
5164854,3,0.33,0.33,0.0,0.0,0.0,0.0,0.33,0.0,1.33,0.0,0.0,0.67,0.67,1.0,0.0,0.33,0.33,0.0,1.0,0.67,0.0,0.67
5176701,3,0.0,1.0,0.67,3.0,2.0,1.67,0.67,0.67,0.0,0.33,0.33,1.33,0.33,1.67,1.0,0.33,0.33,0.0,0.0,0.67,0.0,0.0
5500327,4,0.25,0.75,0.5,1.25,1.75,1.5,0.75,0.25,0.0,0.5,1.0,0.5,1.75,0.75,1.25,0.75,0.75,0.75,1.0,0.25,0.75,0.0
6008257,4,9.0,3.75,8.0,6.75,7.25,6.0,9.25,5.75,7.0,10.0,6.0,4.75,10.75,9.25,8.0,9.5,9.75,8.75,6.0,8.25,4.0,6.5
6720885,4,0.5,0.75,1.0,1.5,0.0,0.0,0.25,0.5,0.0,0.75,0.75,0.0,0.75,0.0,1.75,0.0,0.5,0.0,0.75,0.25,0.75,0.0
6885157,7,1.14,1.14,1.43,1.43,2.57,1.0,3.14,0.29,2.43,0.86,3.86,2.14,3.86,1.29,3.57,1.57,2.86,1.57,3.57,0.57,2.43,0.14
7136700,3,1.33,1.67,1.33,1.67,2.33,2.0,1.33,1.67,2.33,2.0,2.33,2.33,2.0,3.0,2.33,2.0,2.67,0.67,4.33,2.33,1.0,1.0
8288419,4,1.25,2.0,1.75,2.5,3.0,3.0,1.75,0.25,1.75,1.0,1.75,1.5,1.5,1.5,2.25,1.0,1.0,1.75,1.5,1.5,1.0,0.25
8792814,3,0.0,0.67,0.33,0.67,1.0,1.0,0.67,0.0,0.67,0.67,0.67,0.33,1.67,1.33,1.0,1.0,0.0,0.33,0.67,0.33,0.0,0.0
9522524,3,0.33,2.67,1.33,2.33,1.33,3.0,0.33,2.0,2.33,0.67,1.67,0.67,0.0,0.67,0.33,0.33,0.67,0.0,0.67,0.67,0.33,0.67
9820942,3,2.67,1.67,6.33,4.0,5.67,2.33,4.67,2.33,2.67,3.33,6.0,4.0,4.33,5.33,4.67,3.33,4.33,2.0,5.67,1.33,3.0,2.67
9996045,3,0.33,0.67,1.33,1.67,1.67,2.67,0.67,1.0,1.67,0.67,2.0,0.67,1.0,2.33,2.0,0.0,1.0,0.0,1.67,0.33,0.0,0.0
13649613,3,2.33,1.67,1.0,3.67,2.33,2.67,1.0,2.67,2.33,2.67,4.0,3.67,1.33,2.67,1.33,2.33,2.0,1.67,2.67,1.67,1.33,2.33
14902860,5,0.0,0.6,0.6,1.2,1.2,1.4,0.8,0.8,0.4,0.4,1.0,0.6,1.2,1.4,1.2,0.6,0.2,0.6,1.2,0.0,0.0,0.2
15603335,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16151285,3,0.0,0.0,0.33,0.0,0.67,0.67,0.0,0.33,1.0,0.0,0.33,2.0,1.67,1.33,1.33,0.67,0.33,0.0,0.33,0.0,0.33,0.0
16286162,3,1.0,0.67,0.33,2.33,1.67,1.33,3.0,1.67,1.0,2.33,2.0,3.67,3.0,5.0,1.33,2.33,1.0,1.33,1.67,1.33,0.33,0.0
16954768,3,4.33,3.67,5.33,6.0,5.67,4.0,4.67,5.33,4.33,5.67,5.0,3.0,4.0,4.33,4.0,4.33,1.33,4.33,1.33,4.0,0.67,3.67
17051201,3,0.0,0.0,0.33,0.33,0.33,0.67,0.0,0.33,0.67,0.33,0.67,0.67,0.0,0.0,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0
17479416,3,0.0,2.0,1.67,2.0,0.67,2.67,0.67,1.33,1.33,1.67,1.0,2.33,1.33,1.33,1.33,1.33,1.33,1.0,1.33,0.67,0.33,0.0
18397763,6,1.33,0.33,0.17,0.5,0.33,1.0,0.67,0.67,0.33,0.33,0.83,1.67,1.17,1.5,0.83,0.17,0.5,0.67,0.5,0.33,0.33,0.17
18836774,4,0.0,0.25,0.75,0.75,1.0,1.25,0.75,0.0,0.25,0.25,0.75,1.25,0.25,2.5,1.5,2.0,0.25,0.75,0.25,0.75,0.5,0.0
19597910,3,0.33,1.0,0.0,3.67,3.0,1.0,1.0,1.0,2.33,1.67,2.0,2.33,2.67,3.0,1.33,1.67,0.67,1.0,1.0,1.0,1.67,0.67
20828747,3,4.67,3.0,7.0,3.0,3.0,3.33,5.67,2.0,4.33,3.67,3.0,4.33,5.33,3.0,4.33,4.0,3.33,4.33,6.33,6.33,2.33,3.0
21228368,5,0.2,0.4,0.8,0.6,0.8,0.4,0.4,0.4,0.4,0.4,0.4,1.0,0.8,0.4,1.0,0.6,0.2,0.4,0.2,0.6,0.0,0.2
21641206,3,8.67,2.0,8.33,6.33,9.33,6.67,8.0,5.67,8.67,7.67,9.0,7.67,7.33,7.67,10.67,7.0,7.33,5.33,9.67,7.33,5.0,4.33
22927481,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23334165,3,0.67,2.0,0.67,1.67,1.0,1.0,1.67,2.0,0.67,1.67,2.0,1.33,1.33,1.33,0.67,0.33,1.0,1.33,2.33,0.67,0.33,0.0
23533897,3,0.0,0.0,1.33,1.0,1.67,3.0,1.33,0.0,0.0,2.33,1.67,2.67,2.0,1.0,1.33,1.67,0.33,1.33,1.0,0.67,1.0,0.0
25237492,10,0.1,0.1,0.1,0.5,0.2,0.5,0.3,0.3,0.2,0.3,0.7,0.1,0.3,0.3,0.3,0.1,0.3,0.3,0.4,0.1,0.2,0.0
